      |    1         0         1   |
      | 32109876543210123456789012 |
  -21 | AAAAAAAAAAASSSSAAAAAAAAAAA |
  -20 | AAAAAAAAAAASSSSAAAAAAAAAAA |
  -19 | AAAAAAAAAAASS@SAAAAAAAAAAA |
  -18 | AAAAAAAAAAASSSSAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAA!AAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   -8 | +++++ooooo++++++           |
   -7 | +++++ooooo++++++           |
   -6 | BBBBBooooo++++++           |
   -5 | BBBBBooooo++++++           |
   -4 | BBBBB++CCCCCCCCCCCC        |
   -3 | BBBBB++CCCCCCCCCCCC        |
   -2 |        CCCCCCCCCCCC        |
   -1 |        CCCCCCCCCCCC        |
    0 |        CCCCCCCCCCCC        |
    1 |        CCCCCCCCCCCC        |
    2 |        CCCCCCCCCCCC++BBBBB |
    3 |        CCCCCCCCCCCC++BBBBB |
    4 |           ++++++oooooBBBBB |
    5 |           ++++++oooooBBBBB |
    6 |           ++++++ooooo+++++ |
    7 |           ++++++ooooo+++++ |
    8 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAA!AAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAASSSSAAAAAAAAAAA |
   18 | AAAAAAAAAAASSSSAAAAAAAAAAA |
   19 | AAAAAAAAAAASS@SAAAAAAAAAAA |
   20 | AAAAAAAAAAASSSSAAAAAAAAAAA |
      26 × 42 cells drawn  ·  26 × 42 cells = 130 × 210 blocks  ·  cell 5
      ! destroyable   @ spawn   A shore (piece)   B skerry (piece)   C core (piece)   
      S spawn (spawn)   
