      |         0        |
      | 8765432101234567 |
  -18 |        SS        |
  -17 |        S@        |
  -16 |       GGGG       |
  -15 |      FFFFFF      |
  -14 |      FFFFFF      |
  -13 |      FFFFFF      |
  -12 |  EEEEEEEEEEEEEE  |
  -11 |  EEEEEEEEEEEEEE  |
  -10 |  EEEEEEEEEEEEEE  |
   -9 |  EEEEEEEEEEEEEE  |
   -8 | DDDDoooo!oooCCCC |
   -7 | DDDDooooooooCCCC |
   -6 | DDDDooooooooCCCC |
   -5 | BBBBBBooooAAAAAA |
   -4 | BBBBBBooooAAAAAA |
   -3 | BBBBBB++++AAAAAA |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 | AAAAAA++++BBBBBB |
    3 | AAAAAAooooBBBBBB |
    4 | AAAAAAooooBBBBBB |
    5 | CCCCooooooooDDDD |
    6 | CCCCooooooooDDDD |
    7 | CCCCooooooooDDDD |
    8 |  EEEEEEE!EEEEEE  |
    9 |  EEEEEEEEEEEEEE  |
   10 |  EEEEEEEEEEEEEE  |
   11 |  EEEEEEEEEEEEEE  |
   12 |      FFFFFF      |
   13 |      FFFFFF      |
   14 |      FFFFFF      |
   15 |       GGGG       |
   16 |        SS        |
   17 |        S@        |
      16 × 36 cells drawn  ·  16 × 36 cells = 80 × 180 blocks  ·  cell 5
      ! destroyable   @ spawn   A front-w (piece)   B front-e (piece)   C arm-w (piece)   
      D arm-e (piece)   E keep (piece)   F back (piece)   G spawn-t1 (piece)   
      S spawn-room (spawn)   
