      | 1         0          |
      | 09876543210123456789 |
  -10 | EEEEEEEESSSSDDDDDDDD |
   -9 | EEEEEEEESSSSDDDDDDDD |
   -8 | EEEEEEEESS@SDDDDDDDD |
   -7 | EEEEEEEESSSSDDDDDDDD |
   -6 | CCCCCCCCCCCCCCCCCCCC |
   -5 | BBBBBBBBBB!BBBBBBBBB |
   -4 | AAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAA |
    4 | BBBBBBBBBB!BBBBBBBBB |
    5 | CCCCCCCCCCCCCCCCCCCC |
    6 | DDDDDDDDSSSSEEEEEEEE |
    7 | DDDDDDDDSSSSEEEEEEEE |
    8 | DDDDDDDDSS@SEEEEEEEE |
    9 | DDDDDDDDSSSSEEEEEEEE |
      20 × 20 cells drawn  ·  20 × 20 cells = 100 × 100 blocks  ·  cell 5
      ! destroyable   @ spawn   A field (piece)   B tread-1 (piece)   C tread-2 (piece)   
      D terrace-w (piece)   E terrace-e (piece)   S camp (spawn)   
