      |         0        |
      | 8765432101234567 |
  -22 |  WWW             |
  -21 |  W¤W             |
  -20 |  WWW             |
  -19 |  FFF             |
  -18 |  FFF      SSSS   |
  -17 |  FFF      SS@S   |
  -16 |  FFF      iSSS   |
  -15 | EEEEEEEDDDDDDDDD |
  -14 | EEEEEEEDDDDDDDDD |
  -13 | EEEEEEEDDDDDDDDD |
  -12 | CCCooooooooooBBB |
  -11 | CCCooooooooooBBB |
  -10 | CCCooooooooooBBB |
   -9 | CCCooooooooooBBB |
   -8 | CCCooooooooooBBB |
   -7 | CCCooooooooooBBB |
   -6 | AAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAiAAA |
   -4 | AAAAAAAAAAAAAAAA |
   -3 | ++++++++++++++++ |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 | ++++++++++++++++ |
    3 | AAAAAAAAAAAAAAAA |
    4 | AAAAiAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAA |
    6 | BBBooooooooooCCC |
    7 | BBBooooooooooCCC |
    8 | BBBooooooooooCCC |
    9 | BBBooooooooooCCC |
   10 | BBBooooooooooCCC |
   11 | BBBooooooooooCCC |
   12 | DDDDDDDDDEEEEEEE |
   13 | DDDDDDDDDEEEEEEE |
   14 | DDDDDDDDDEEEEEEE |
   15 |   SSSi      FFF  |
   16 |   SSSS      FFF  |
   17 |   SS@S      FFF  |
   18 |             FFF  |
   19 |             WWW  |
   20 |             W¤W  |
   21 |             WWW  |
      16 × 44 cells drawn  ·  16 × 44 cells = 80 × 220 blocks  ·  cell 5
      @ spawn   A shelf (piece)   B flank-w (piece)   C flank-e (piece)   D apron (piece)   
      E lane (piece)   F rise (piece)   S spawn (spawn)   W room (wool-room)   i iron   ¤ wool   
