      |          0         |
      | 987654321012345678 |
  -18 |        SSSS        |
  -17 |        SS@i        |
  -16 |    CCCCCCCCCCCC    |
  -15 |    CCCCCCCCCCCC    |
  -14 |    CCCCCCCCCCCC    |
  -13 |  BBBBBBBBBBBBBBBB  |
  -12 |  BBBBBBBBBBBBBBBB  |
  -11 |  BBBBBBBBBBBB!BBB  |
  -10 |  BBBBBBBBBBBBBBBB  |
   -9 |  BBBBBBBBBBBBBBBB  |
   -8 | AAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAA |
    8 |  BBBBBBBBBBBBBBBB  |
    9 |  BBBBBBBBBBBBBBBB  |
   10 |  BBBBBBBBBBBBBBBB  |
   11 |  BBBB!BBBBBBBBBBB  |
   12 |  BBBBBBBBBBBBBBBB  |
   13 |    CCCCCCCCCCCC    |
   14 |    CCCCCCCCCCCC    |
   15 |    CCCCCCCCCCCC    |
   16 |        SSSS        |
   17 |        Si@S        |
      18 × 36 cells drawn  ·  18 × 36 cells = 90 × 180 blocks  ·  cell 5
      ! destroyable   @ spawn   A body (piece)   B shoulder (piece)   C bench (piece)   
      S spawn (spawn)   i iron   
