## spawn-red (spawn) along x
TRANSECT 35 stations from (-17, -125) to (17, -125), every 1
  station        ground  surface  water  top  standing            step
  (  -17,  -125)       8        8            8                      
  (  -16,  -125)       8        8            8                      
  (  -15,  -125)       8        8            8                      
  (  -14,  -125)       8        8            8                      
  (  -13,  -125)       8        8            8                      
  (  -12,  -125)       8        8            8                      
  (  -11,  -125)       8        8            8                      
  (  -10,  -125)       8        8            8                      
  (   -9,  -125)       8        8            8                      
  (   -8,  -125)       8        8           16  spawn 0             
  (   -7,  -125)       8        8           16  spawn 0             
  (   -6,  -125)       8        8           16  spawn 0             
  (   -5,  -125)       8        8           16  spawn 0             
  (   -4,  -125)       8        8           16  spawn 0             
  (   -3,  -125)       8        8           16  spawn 0             
  (   -2,  -125)       8        8           16  spawn 0             
  (   -1,  -125)       8        8           16  spawn 0             
  (    0,  -125)       8        8           16  spawn 0             
  (    1,  -125)       8        8           16  spawn 0             
  (    2,  -125)       8        8           16  spawn 0             
  (    3,  -125)       8        8           16  spawn 0             
  (    4,  -125)       8        8           16  spawn 0             
  (    5,  -125)       8        8           16  spawn 0             
  (    6,  -125)       8        8           16  spawn 0             
  (    7,  -125)       8        8           16  spawn 0             
  (    8,  -125)       8        8            8                      
  (    9,  -125)       8        8            8                      
  (   10,  -125)       8        8            8                      
  (   11,  -125)       8        8            8                      
  (   12,  -125)       8        8            8                      
  (   13,  -125)       8        8            8                      
  (   14,  -125)       8        8            8                      
  (   15,  -125)       8        8            8                      
  (   16,  -125)       8        8            8                      
  (   17,  -125)       8        8            8                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn 0 at (-8, -127)

## spawn-red (spawn) along z
TRANSECT 29 stations from (0, -136) to (0, -108), every 1
  station        ground  surface  water  top  standing            step
  (    0,  -136)       8        8            8                      
  (    0,  -135)       8        8            8                      
  (    0,  -134)       8        8            8                      
  (    0,  -133)       8        8           16  spawn 0             
  (    0,  -132)       8        8           16  spawn 0             
  (    0,  -131)       8        8           16  spawn 0             
  (    0,  -130)       8        8           16  spawn 0             
  (    0,  -129)       8        8            8  spawn 0             
  (    0,  -128)       8        8            8  spawn 0             
  (    0,  -127)       8        8            8  spawn 0             
  (    0,  -126)       8        8            8  spawn 0             
  (    0,  -125)       8        8           16  spawn 0             
  (    0,  -124)       8        8           16  spawn 0             
  (    0,  -123)       8        8           16  spawn 0             
  (    0,  -122)       8        8           16  spawn 0             
  (    0,  -121)       8        8            8                      
  (    0,  -120)       8        8            8                      
  (    0,  -119)       8        8            8                      
  (    0,  -118)       8        8            8                      
  (    0,  -117)       8        8            8                      
  (    0,  -116)       8        8            8                      
  (    0,  -115)       8        8            8                      
  (    0,  -114)       8        8            8                      
  (    0,  -113)       8        8            8                      
  (    0,  -112)       8        8            8                      
  (    0,  -111)       8        8            8                      
  (    0,  -110)       8        8            8                      
  (    0,  -109)       8        8            8                      
  (    0,  -108)       9        9            9                      +1
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn 0 at (-2, -133)
