## spawn-blue (spawn) along x
TRANSECT 41 stations from (-20, 90) to (20, 90), every 1
  station        ground  surface  water  top  standing            step
  (  -20,    90)      24       24           24                      
  (  -19,    90)      24       24           24                      
  (  -18,    90)      24       24           24                      
  (  -17,    90)      24       24           24                      
  (  -16,    90)      24       24           24                      
  (  -15,    90)      24       24           24                      
  (  -14,    90)      24       24           24                      
  (  -13,    90)      24       24           24                      
  (  -12,    90)      24       24           24                      
  (  -11,    90)      24       24           24                      
  (  -10,    90)      24       24           24                      
  (   -9,    90)      24       24           24                      
  (   -8,    90)      24       24           34                      
  (   -7,    90)      24       24           34  spawn spawn-1#1     
  (   -6,    90)      24       24           34  spawn spawn-1#1     
  (   -5,    90)      24       24           34  spawn spawn-1#1     
  (   -4,    90)      24       24           34  spawn spawn-1#1     
  (   -3,    90)      24       24           34  spawn spawn-1#1     
  (   -2,    90)      24       24           34  spawn spawn-1#1     
  (   -1,    90)      24       24           34  spawn spawn-1#1     
  (    0,    90)      24       24           34  spawn spawn-1#1     
  (    1,    90)      24       24           34  spawn spawn-1#1     
  (    2,    90)      24       24           34  spawn spawn-1#1     
  (    3,    90)      24       24           34  spawn spawn-1#1     
  (    4,    90)      24       24           34  spawn spawn-1#1     
  (    5,    90)      24       24           34  spawn spawn-1#1     
  (    6,    90)      24       24           34  spawn spawn-1#1     
  (    7,    90)      24       24           34                      
  (    8,    90)      24       24           24                      
  (    9,    90)      24       24           24                      
  (   10,    90)      24       24           24                      
  (   11,    90)      24       24           24                      
  (   12,    90)      24       24           24                      
  (   13,    90)      24       24           24                      
  (   14,    90)      24       24           24                      
  (   15,    90)      25       25           25                      +1
  (   16,    90)      25       25           25                      
  (   17,    90)      25       25           25                      
  (   18,    90)      25       25           25                      
  (   19,    90)      25       25           25                      
  (   20,    90)      25       25           25                      
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-7, 88)

## spawn-blue (spawn) along z
TRANSECT 20 stations from (0, 76) to (0, 95), every 1
  station        ground  surface  water  top  standing            step
  (    0,    76)      24       24           24                      
  (    0,    77)      24       24           24                      
  (    0,    78)      24       24           24  stroke corrie-road#1  
  (    0,    79)      24       24           24  stroke corrie-road#1  
  (    0,    80)      24       24           24  stroke corrie-road#1  
  (    0,    81)      24       24           24  stroke corrie-road#1  
  (    0,    82)      24       24           24  stroke corrie-road#1  
  (    0,    83)      24       24           24  stroke corrie-road#1  
  (    0,    84)      24       24           24                      
  (    0,    85)      24       24           30                      
  (    0,    86)      24       24           31  spawn spawn-1#1     
  (    0,    87)      24       24           32  spawn spawn-1#1     
  (    0,    88)      24       24           33  spawn spawn-1#1     
  (    0,    89)      24       24           34  spawn spawn-1#1     
  (    0,    90)      24       24           34  spawn spawn-1#1     
  (    0,    91)      24       24           33  spawn spawn-1#1     
  (    0,    92)      24       24           32  spawn spawn-1#1     
  (    0,    93)      24       24           31  spawn spawn-1#1     
  (    0,    94)      24       24           30                      
  (    0,    95)      24       24           24                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke corrie-road#1 at (2, 76), spawn spawn-1#1 at (-2, 86)
