## spoil-4 (boulder) along x
TRANSECT 19 stations from (-52, -20) to (-34, -20), every 1
  station        ground  surface  water  top  standing            step
  (  -52,   -20)      26       26           26                      
  (  -51,   -20)      26       26           26                      
  (  -50,   -20)      21       21           23  boulder spoil-4     DROP -5
  (  -49,   -20)      16       16           23  boulder spoil-4     DROP -5
  (  -48,   -20)      17       17           24  boulder spoil-4     +1
  (  -47,   -20)      16       16           24  boulder spoil-4     -1
  (  -46,   -20)      16       16           24  boulder spoil-4     
  (  -45,   -20)      17       17           24  boulder spoil-4     +1
  (  -44,   -20)      17       17           24  boulder spoil-4     
  (  -43,   -20)      17       17           24  boulder spoil-4     
  (  -42,   -20)      18       18           24  boulder spoil-4     +1
  (  -41,   -20)      18       18           23  boulder spoil-4     
  (  -40,   -20)      19       19           19                      +1
  (  -39,   -20)      19       19           19                      
  (  -38,   -20)      19       19           19                      
  (  -37,   -20)      20       20           20                      +1
  (  -36,   -20)      20       20           20                      
  (  -35,   -20)      20       20           20                      
  (  -34,   -20)      21       21           21                      +1
rises 6, falls 3, worst step 5: 0 barrier, 0 scramble, 2 drop — DROP -5 at (-50, -20); DROP -5 at (-49, -20) | walked end to end
beside: boulder spoil-4 at (-50, -22)

## spoil-4 (boulder) along z
TRANSECT 25 stations from (-46, -32) to (-46, -8), every 1
  station        ground  surface  water  top  standing            step
  (  -46,   -32)      16       16           16                      
  (  -46,   -31)      16       16           16                      
  (  -46,   -30)      16       16           16                      
  (  -46,   -29)      16       16           16                      
  (  -46,   -28)      16       16           16                      
  (  -46,   -27)      16       16           16                      
  (  -46,   -26)      17       17           20  boulder spoil-4     +1
  (  -46,   -25)      16       16           22  boulder spoil-4     -1
  (  -46,   -24)      16       16           23  boulder spoil-4     
  (  -46,   -23)      16       16           24  boulder spoil-4     
  (  -46,   -22)      16       16           24  boulder spoil-4     
  (  -46,   -21)      16       16           24  boulder spoil-4     
  (  -46,   -20)      16       16           24  boulder spoil-4     
  (  -46,   -19)      16       16           24  boulder spoil-4     
  (  -46,   -18)      16       16           24  boulder spoil-4     
  (  -46,   -17)      16       16           24  boulder spoil-4     
  (  -46,   -16)      16       16           23  boulder spoil-4     
  (  -46,   -15)      16       16           21  boulder spoil-4     
  (  -46,   -14)      16       16           19  boulder spoil-4     
  (  -46,   -13)      16       16           16                      
  (  -46,   -12)      16       16           16                      
  (  -46,   -11)      17       17           17                      +1
  (  -46,   -10)      16       16           16                      -1
  (  -46,    -9)      16       16           16                      
  (  -46,    -8)      16       16           16                      
rises 2, falls 2, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder spoil-4 at (-47, -26)
