      |     1         0         1    |
      | 4321098765432101234567890123 |
  -31 |             SSSS             |
  -30 |             SS@S             |
  -29 |             SSSS             |
  -28 |        DDDDDDDDDDDDDD        |
  -27 |        DDDDDDDDDDDDDD        |
  -26 |        DDDDDDDDDDDDDD        |
  -25 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -24 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -23 | CCCCCCCC!CCCCCCCCCCCCCCCCCCC |
  -22 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -21 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -20 | CCCCCC!CCCCCCCCCCCCCCCCCCCCC |
  -19 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -18 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -17 | CCCCCCCCCCCCCCCCCCCCCCC!CCCC |
  -16 | CCCCC!CCCCCCCCCCCCCCCCCCCCCC |
  -15 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -14 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -13 | CCCCCCCCCCCCCCCCCCCC!CCCCCCC |
  -12 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -11 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -10 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   -9 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   -8 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   -7 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   -6 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   -5 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   -4 |      AAAAAAAAAAAAAAAAAA      |
   -3 |      AAAAAAAAAAAAAAAAAA      |
   -2 |      AAAAAAAAAAAAAAAAAA      |
   -1 |      AAAAAAAAAAAAAAAAAA      |
    0 |      AAAAAAAAAAAAAAAAAA      |
    1 |      AAAAAAAAAAAAAAAAAA      |
    2 |      AAAAAAAAAAAAAAAAAA      |
    3 |      AAAAAAAAAAAAAAAAAA      |
    4 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
    5 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
    6 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
    7 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
    8 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
    9 | BBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   10 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   11 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   12 | CCCCCCC!CCCCCCCCCCCCCCCCCCCC |
   13 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   14 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   15 | CCCCCCCCCCCCCCCCCCCCCC!CCCCC |
   16 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   17 | CCCC!CCCCCCCCCCCCCCCCCCCCCCC |
   18 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   19 | CCCCCCCCCCCCCCCCCCCCC!CCCCCC |
   20 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   21 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   22 | CCCCCCCCCCCCCCCCCCCC!CCCCCCC |
   23 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   24 | CCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   25 |        DDDDDDDDDDDDDD        |
   26 |        DDDDDDDDDDDDDD        |
   27 |        DDDDDDDDDDDDDD        |
   28 |             SSSS             |
   29 |             SSSS             |
   30 |             SS@S             |
      28 × 62 cells drawn  ·  28 × 62 cells = 112 × 248 blocks  ·  cell 4
      ! destroyable   @ spawn   A plaza (piece)   B apron (piece)   C complex (piece)   
      D approach (piece)   S arrivals (spawn)   
