      |         1         0         1        |
      | 876543210987654321012345678901234567 |
  -32 | EEEEEEEEDDDDDDDDDDDDDDDDDDDDCCCCCCCC |
  -31 | EEEEEEEEDDDDDDDDDDDDDDDDDDDDCCCCCCCC |
  -30 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -29 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -28 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -27 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -26 | SSSS@SSSDDDDDDDDDDDDDDDDDDDDWWWW¤WWW |
  -25 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -24 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -23 | SSSSSSSSDDDDDDDDDDDDDDDDDDDDWWWWWWWW |
  -22 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -21 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -20 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -19 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -18 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -17 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -16 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
  -15 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   15 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   16 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   17 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   18 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   19 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   20 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   21 | BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB |
   22 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   23 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   24 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   25 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   26 | WWWW¤WWWDDDDDDDDDDDDDDDDDDDDSSSS@SSS |
   27 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   28 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   29 | WWWWWWWWDDDDDDDDDDDDDDDDDDDDSSSSSSSS |
   30 | CCCCCCCCDDDDDDDDDDDDDDDDDDDDEEEEEEEE |
   31 | CCCCCCCCDDDDDDDDDDDDDDDDDDDDEEEEEEEE |
      36 × 64 cells drawn  ·  36 × 64 cells = 72 × 128 blocks  ·  cell 2
      @ spawn   A wadi (piece)   B row (piece)   C shelf-wn (piece)   D shelf-m (piece)   
      E shelf-en (piece)   S camp (spawn)   W wool-room (wool-room)   ¤ wool   
