## lamps (made) along x
TRANSECT 50 stations from (-29, -61) to (20, -61), every 1
  station        ground  surface  water  top  standing            step
  (  -29,   -61)      24       24           35  house hs-w1         
  (  -28,   -61)      24       24           35  house hs-w1         
  (  -27,   -61)      24       24           35  house hs-w1         
  (  -26,   -61)      24       24           24                      
  (  -25,   -61)      20       20           20                      DROP -4
  (  -24,   -61)      20       24           24  storey              BARRIER +4
  (  -23,   -61)      20       24           24  storey              
  (  -22,   -61)      20       24           24  storey              
  (  -21,   -61)      20       20           20                      DROP -4
  (  -20,   -61)      20       23           23  storey              BARRIER +3
  (  -19,   -61)      20       23           23  storey              
  (  -18,   -61)      20       23           23  storey              
  (  -17,   -61)      20       20           20                      -3
  (  -16,   -61)      20       20           20                      
  (  -15,   -61)      20       20           20                      
  (  -14,   -61)      20       20           20                      
  (  -13,   -61)      20       20           20                      
  (  -12,   -61)      20       24           24  storey              BARRIER +4
  (  -11,   -61)      20       24           24  storey              
  (  -10,   -61)      20       24           24  storey              
  (   -9,   -61)      20       20           20                      DROP -4
  (   -8,   -61)      20       20           20                      
  (   -7,   -61)      20       20           20                      
  (   -6,   -61)      20       20           20                      
  (   -5,   -61)      20       20           20                      
  (   -4,   -61)      20       20           20                      
  (   -3,   -61)      20       20           20                      
  (   -2,   -61)      20       20           20                      
  (   -1,   -61)      20       20           20                      
  (    0,   -61)      20       20           20                      
  (    1,   -61)      20       20           20                      
  (    2,   -61)      20       20           20                      
  (    3,   -61)      20       20           20                      
  (    4,   -61)      20       23           23  storey              BARRIER +3
  (    5,   -61)      20       23           23  storey              
  (    6,   -61)      20       23           23  storey              
  (    7,   -61)      20       20           20                      -3
  (    8,   -61)      20       24           24  storey              BARRIER +4
  (    9,   -61)      20       24           24  storey              
  (   10,   -61)      20       24           24  storey              
  (   11,   -61)      20       20           20                      DROP -4
  (   12,   -61)      20       20           20                      
  (   13,   -61)      20       20           20                      
  (   14,   -61)      20       20           20                      
  (   15,   -61)      20       20           20                      
  (   16,   -61)      20       20           20                      
  (   17,   -61)      20       20           20                      
  (   18,   -61)      20       20           20                      
  (   19,   -61)      20       20           20                      
  (   20,   -61)      20       23           23  storey              BARRIER +3
rises 6, falls 6, worst step 4: 6 barrier, 0 scramble, 4 drop — DROP -4 at (-25, -61); BARRIER +4 at (-24, -61); DROP -4 at (-21, -61); BARRIER +3 at (-20, -61); BARRIER +4 at (-12, -61); DROP -4 at (-9, -61); BARRIER +3 at (4, -61); BARRIER +4 at (8, -61); DROP -4 at (11, -61); BARRIER +3 at (20, -61) | walked end to end
beside: house hs-w1 at (-31, -63)

## lamps (made) along z
TRANSECT 50 stations from (-5, -85) to (-5, -36), every 1
  station        ground  surface  water  top  standing            step
  (   -5,   -85)      20       20           27                      
  (   -5,   -84)      20       20           20                      
  (   -5,   -83)      20       20           20                      
  (   -5,   -82)      20       20           20                      
  (   -5,   -81)      20       20           20                      
  (   -5,   -80)      20       20           20                      
  (   -5,   -79)      20       20           20                      
  (   -5,   -78)      20       20           20                      
  (   -5,   -77)      20       20           20                      
  (   -5,   -76)      20       20           20                      
  (   -5,   -75)      20       20           20                      
  (   -5,   -74)      20       20           20                      
  (   -5,   -73)      20       20           20                      
  (   -5,   -72)      20       20           20                      
  (   -5,   -71)      20       20           20                      
  (   -5,   -70)      20       20           20                      
  (   -5,   -69)      20       20           20                      
  (   -5,   -68)      20       20           20                      
  (   -5,   -67)      20       20           20                      
  (   -5,   -66)      20       20           20                      
  (   -5,   -65)      20       20           20                      
  (   -5,   -64)      20       20           20                      
  (   -5,   -63)      20       20           20                      
  (   -5,   -62)      20       20           20                      
  (   -5,   -61)      20       20           20                      
  (   -5,   -60)      20       20           20                      
  (   -5,   -59)      20       20           20                      
  (   -5,   -58)      20       20           20                      
  (   -5,   -57)      20       20           20                      
  (   -5,   -56)      20       26           26  storey              BARRIER +6
  (   -5,   -55)      20       20           20                      DROP -6
  (   -5,   -54)      20       20           20                      
  (   -5,   -53)      20       20           20                      
  (   -5,   -52)      20       20           20                      
  (   -5,   -51)      20       20           20                      
  (   -5,   -50)      20       20           20                      
  (   -5,   -49)      20       20           20                      
  (   -5,   -48)      20       20           20                      
  (   -5,   -47)      20       20           20                      
  (   -5,   -46)      20       20           20                      
  (   -5,   -45)      20       26           26  storey              BARRIER +6
  (   -5,   -44)      20       20           20                      DROP -6
  (   -5,   -43)      20       20           20                      
  (   -5,   -42)      20       20           20                      
  (   -5,   -41)      20       20           20                      
  (   -5,   -40)      20       20           20                      
  (   -5,   -39)      20       20           20                      
  (   -5,   -38)      20       20           20                      
  (   -5,   -37)      20       20           20                      
  (   -5,   -36)      20       20           20                      
rises 2, falls 2, worst step 6: 2 barrier, 0 scramble, 2 drop — BARRIER +6 at (-5, -56); DROP -6 at (-5, -55); BARRIER +6 at (-5, -45); DROP -6 at (-5, -44) | walked end to end
beside: spawn spawn-1 at (-7, -87)
