## red-0 (wool) along x
TRANSECT 21 stations from (-60, -62) to (-40, -62), every 1
  station        ground  surface  water  top  standing            step
  (  -60,   -62)      20       20           20                      
  (  -59,   -62)      20       20           28                      
  (  -58,   -62)      20       20           28  wool wool-w         
  (  -57,   -62)      20       20           28  wool wool-w         
  (  -56,   -62)      20       20           28  wool wool-w         
  (  -55,   -62)      20       20           28  wool wool-w         
  (  -54,   -62)      20       20           28  wool wool-w         
  (  -53,   -62)      20       20           58  wool wool-w         
  (  -52,   -62)      20       20           58  wool wool-w         
  (  -51,   -62)      20       20           58  wool wool-w         
  (  -50,   -62)      20       20           28  wool wool-w         
  (  -49,   -62)      20       20           28  wool wool-w         
  (  -48,   -62)      20       20           28  wool wool-w         
  (  -47,   -62)      20       20           28                      
  (  -46,   -62)      20       20           21  redstoneline 0      
  (  -45,   -62)      20       20           20                      
  (  -44,   -62)      20       20           20                      
  (  -43,   -62)      20       20           20  stroke walk-w       
  (  -42,   -62)      20       20           20  stroke walk-w       
  (  -41,   -62)      20       20           20  stroke walk-w       
  (  -40,   -62)      20       20           20  stroke walk-w       
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-w at (-58, -64), redstoneline 0 at (-46, -64), stroke walk-w at (-43, -64)

## red-0 (wool) along z
TRANSECT 25 stations from (-52, -74) to (-52, -50), every 1
  station        ground  surface  water  top  standing            step
  (  -52,   -74)      20       20           20                      
  (  -52,   -73)      20       20           20                      
  (  -52,   -72)      20       20           28                      
  (  -52,   -71)      20       20           28  wool wool-w         
  (  -52,   -70)      20       20           28  wool wool-w         
  (  -52,   -69)      20       20           28  wool wool-w         
  (  -52,   -68)      20       20           28  wool wool-w         
  (  -52,   -67)      20       20           28  wool wool-w         
  (  -52,   -66)      20       20           28  wool wool-w         
  (  -52,   -65)      20       20           28  wool wool-w         
  (  -52,   -64)      20       20           28  wool wool-w         
  (  -52,   -63)      20       20           58  wool wool-w         
  (  -52,   -62)      20       20           58  wool wool-w         
  (  -52,   -61)      20       20           58  wool wool-w         
  (  -52,   -60)      20       20           28  wool wool-w         
  (  -52,   -59)      20       20           28  wool wool-w         
  (  -52,   -58)      20       20           28  wool wool-w         
  (  -52,   -57)      20       20           28  wool wool-w         
  (  -52,   -56)      20       20           28  wool wool-w         
  (  -52,   -55)      20       20           28  wool wool-w         
  (  -52,   -54)      20       20           28                      
  (  -52,   -53)      20       20           20                      
  (  -52,   -52)      20       20           20                      
  (  -52,   -51)      20       20           20                      
  (  -52,   -50)      20       20           20                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-w at (-54, -71)
