      | -1         0         1 |
      | 1098765432101234567890 |
  -25 | AAAAAAAAAAASSSSSSAAAAA |
  -24 | AAAAAAAAAAASSS@SSAAAAA |
  -23 | AAAAAAAAAAASSSSSSAAAAA |
  -22 | AAAAAAAAAAAAAAAAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAAAAAAAAAA |
  -18 |   BBBBBBBBBBBBBBBBBB   |
  -17 |   BBBBBBBBBBBBBBBBBB   |
  -16 |   BBBOBBBBBBBBBBBBBB   |
  -15 |   BBBBBBBBBBBBBBBBBB   |
  -14 |   BBBBBBBBBBBBBBBBBB   |
  -13 |   BBBBBBBBBBBBBBBBBB   |
  -12 |   BBBBBBBBBBBBBBBBBB   |
  -11 |   BBBBBBBBBBBBBBBBBB   |
  -10 |   BBBBBBBBBBBBBBBBBB   |
   -9 |   BBBBBBBBBBBBBBBBBB   |
   -8 |   BBBBBBBBBBBBBBBBBB   |
   -7 |   BBBBBBBBBBBBBBBBBB   |
   -6 |   BBBBBBBBBBBBBBBBBB   |
   -5 |   BBBBBBBBBBBBBBBBBB   |
   -4 |   BBBBBBBBBBBBBBBBBB   |
   -3 |   ++++++++++++++++++   |
   -2 |   ++++++++++++++++++   |
   -1 |   ++++++++++++++++++   |
    0 |   ++++++++++++++++++   |
    1 |   ++++++++++++++++++   |
    2 |   ++++++++++++++++++   |
    3 |   BBBBBBBBBBBBBBBBBB   |
    4 |   BBBBBBBBBBBBBBBBBB   |
    5 |   BBBBBBBBBBBBBBBBBB   |
    6 |   BBBBBBBBBBBBBBBBBB   |
    7 |   BBBBBBBBBBBBBBBBBB   |
    8 |   BBBBBBBBBBBBBBBBBB   |
    9 |   BBBBBBBBBBBBBBBBBB   |
   10 |   BBBBBBBBBBBBBBBBBB   |
   11 |   BBBBBBBBBBBBBBBBBB   |
   12 |   BBBBBBBBBBBBBBBBBB   |
   13 |   BBBBBBBBBBBBBBBBBB   |
   14 |   BBBBBBBBBBBBBBBBBB   |
   15 |   BBBBBBBBBBBBBBOBBB   |
   16 |   BBBBBBBBBBBBBBBBBB   |
   17 |   BBBBBBBBBBBBBBBBBB   |
   18 | AAAAAAAAAAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAAAAAAAAAAAAAAAAA |
   22 | AAAAASSSSSSAAAAAAAAAAA |
   23 | AAAAASSS@SSAAAAAAAAAAA |
   24 | AAAAASSSSSSAAAAAAAAAAA |
      22 × 50 cells drawn  ·  22 × 50 cells = 88 × 200 blocks  ·  cell 4
      @ spawn   A brow (piece)   B bench (piece)   O core   S spawn (spawn)   
