      |       -2        -1         0         1         2       |
      | 765432109876543210987654321012345678901234567890123456 |
  -55 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -54 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -53 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -52 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -51 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -50 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -49 | AAAAAAAAAAAAAAAAAAAAAASSSSS@SSSSBBBBBBBBBBBBBBBBBBBBBB |
  -48 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -47 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -46 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -45 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -44 | AAAAAAAAAAAAAAAAAAAAAASSSSSSSSSSBBBBBBBBBBBBBBBBBBBBBB |
  -43 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -42 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -41 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -40 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -39 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -38 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -37 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -36 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -35 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -34 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -33 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -32 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -31 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -30 | CCCCCCCCCCCCC!CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -29 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC!CCCCCCCCCCCCCCC |
  -28 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -27 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -26 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -25 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -24 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -23 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -22 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -21 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -20 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -19 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -18 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -17 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -16 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -15 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -14 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
  -13 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
  -12 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
  -11 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
  -10 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
   -9 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
   -8 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -7 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -6 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -5 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -4 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -3 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -2 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
   -1 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    0 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    1 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    2 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    3 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    4 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    5 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    6 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    7 | +++++DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD+++++ |
    8 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
    9 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
   10 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
   11 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
   12 | ++++++++++++++++++++++++++++++++++++++++++++++++++++++ |
   13 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   14 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   15 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   16 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   17 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   18 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   19 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   20 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   21 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   22 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   23 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   24 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   25 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   26 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   27 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   28 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   29 | CCCCCCCCCCCCCCCC!CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   30 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC!CCCCCCCCCCCC |
   31 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   32 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   33 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   34 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   35 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   36 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   37 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   38 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   39 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   40 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   41 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   42 | CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC |
   43 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   44 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   45 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   46 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   47 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   48 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   49 | BBBBBBBBBBBBBBBBBBBBBBSSSSS@SSSSAAAAAAAAAAAAAAAAAAAAAA |
   50 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   51 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   52 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
   53 | BBBBBBBBBBBBBBBBBBBBBBSSSSSSSSSSAAAAAAAAAAAAAAAAAAAAAA |
