## spawn-red (spawn) along x
TRANSECT 37 stations from (-18, -98) to (18, -98), every 1
  station        ground  surface  water  top  standing            step
  (  -18,   -98)      44       44           53  house winder        
  (  -17,   -98)      44       44           53  house winder        
  (  -16,   -98)      44       44           44                      
  (  -15,   -98)      44       44           44                      
  (  -14,   -98)      44       44           44                      
  (  -13,   -98)      44       44           44                      
  (  -12,   -98)      44       44           44                      
  (  -11,   -98)      44       44           44                      
  (  -10,   -98)      42       42           42                      -2
  (   -9,   -98)      42       42           42                      
  (   -8,   -98)      42       42           50  spawn spawn-1       
  (   -7,   -98)      42       42           50  spawn spawn-1       
  (   -6,   -98)      42       42           50  spawn spawn-1       
  (   -5,   -98)      42       42           50  spawn spawn-1       
  (   -4,   -98)      42       42           50  spawn spawn-1       
  (   -3,   -98)      42       42           50  spawn spawn-1       
  (   -2,   -98)      42       42           42  spawn spawn-1       
  (   -1,   -98)      42       42           42  spawn spawn-1       
  (    0,   -98)      42       42           42  spawn spawn-1       
  (    1,   -98)      42       42           42  spawn spawn-1       
  (    2,   -98)      42       42           50  spawn spawn-1       
  (    3,   -98)      42       42           50  spawn spawn-1       
  (    4,   -98)      42       42           50  spawn spawn-1       
  (    5,   -98)      42       42           50  spawn spawn-1       
  (    6,   -98)      42       42           50  spawn spawn-1       
  (    7,   -98)      42       42           50  spawn spawn-1       
  (    8,   -98)      42       42           42                      
  (    9,   -98)      42       42           42                      
  (   10,   -98)      44       44           44                      scramble +2
  (   11,   -98)      44       44           44                      
  (   12,   -98)      44       44           44                      
  (   13,   -98)      44       44           44                      
  (   14,   -98)      44       44           44                      
  (   15,   -98)      44       44           44                      
  (   16,   -98)      44       44           44                      
  (   17,   -98)      44       44           54  house smithy        
  (   18,   -98)      44       44           54  house smithy        
rises 1, falls 1, worst step 2: 0 barrier, 1 scramble, 0 drop — scramble +2 at (10, -98) | walked end to end
beside: house winder at (-20, -99), spawn spawn-1 at (-8, -100), house smithy at (17, -99)

## spawn-red (spawn) along z
TRANSECT 33 stations from (0, -110) to (0, -78), every 1
  station        ground  surface  water  top  standing            step
  (    0,  -110)      42       42           42                      
  (    0,  -109)      42       42           42                      
  (    0,  -108)      42       42           42                      
  (    0,  -107)      42       42           42                      
  (    0,  -106)      42       42           50  spawn spawn-1       
  (    0,  -105)      42       42           50  spawn spawn-1       
  (    0,  -104)      42       42           50  spawn spawn-1       
  (    0,  -103)      42       42           50  spawn spawn-1       
  (    0,  -102)      42       42           50  spawn spawn-1       
  (    0,  -101)      42       42           42  spawn spawn-1       
  (    0,  -100)      42       42           42  spawn spawn-1       
  (    0,   -99)      42       42           42  spawn spawn-1       
  (    0,   -98)      42       42           42  spawn spawn-1       
  (    0,   -97)      42       42           50  spawn spawn-1       
  (    0,   -96)      42       42           50  spawn spawn-1       
  (    0,   -95)      42       42           50  spawn spawn-1       
  (    0,   -94)      42       42           50  spawn spawn-1       
  (    0,   -93)      42       42           50  spawn spawn-1       
  (    0,   -92)      42       42           42                      
  (    0,   -91)      42       42           42  stroke road-spine   
  (    0,   -90)      42       42           42  stroke road-spine   
  (    0,   -89)      42       42           42  stroke road-spine   
  (    0,   -88)      42       42           42  stroke road-spine   
  (    0,   -87)      42       42           42  stroke road-spine   
  (    0,   -86)      41       41           41  stroke road-spine   -1
  (    0,   -85)      41       41           41  stroke road-spine   
  (    0,   -84)      41       41           41  stroke road-spine   
  (    0,   -83)      41       41           41  stroke road-spine   
  (    0,   -82)      41       41           41  stroke road-spine   
  (    0,   -81)      40       40           40  stroke road-spine   -1
  (    0,   -80)      40       40           40  stroke road-spine   
  (    0,   -79)      40       40           40  stroke road-spine   
  (    0,   -78)      39       39           39  stroke road-spine   -1
rises 0, falls 3, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-2, -106), stroke road-spine at (-2, -91)
