## bomb-4 (boulder) along x
TRANSECT 19 stations from (-52, -22) to (-34, -22), every 1
  station        ground  surface  water  top  standing            step
  (  -52,   -22)      34       34           34                      
  (  -51,   -22)      32       32           32                      -2
  (  -50,   -22)      31       31           31                      -1
  (  -49,   -22)      30       30           33  boulder bomb-4      -1
  (  -48,   -22)      30       30           33  boulder bomb-4      
  (  -47,   -22)      30       30           33  boulder bomb-4      
  (  -46,   -22)      30       30           33  boulder bomb-4      
  (  -45,   -22)      30       30           33  boulder bomb-4      
  (  -44,   -22)      30       30           32  boulder bomb-4      
  (  -43,   -22)      31       31           32  boulder bomb-4      +1
  (  -42,   -22)      31       31           31                      
  (  -41,   -22)      31       31           31                      
  (  -40,   -22)      32       32           32                      +1
  (  -39,   -22)      33       33           33                      +1
  (  -38,   -22)      32       32           32                      -1
  (  -37,   -22)      32       32           32                      
  (  -36,   -22)      32       32           32                      
  (  -35,   -22)      31       31           31                      -1
  (  -34,   -22)      31       31           31                      
rises 3, falls 5, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder bomb-4 at (-50, -24)

## bomb-4 (boulder) along z
TRANSECT 25 stations from (-46, -34) to (-46, -10), every 1
  station        ground  surface  water  top  standing            step
  (  -46,   -34)      22       22           22                      
  (  -46,   -33)      22       22           22                      
  (  -46,   -32)      22       22           22                      
  (  -46,   -31)      22       22           22                      
  (  -46,   -30)      23       23           23                      +1
  (  -46,   -29)      23       23           23                      
  (  -46,   -28)      23       23           23                      
  (  -46,   -27)      24       24           24                      +1
  (  -46,   -26)      25       25           32  boulder bomb-4      +1
  (  -46,   -25)      26       26           33  boulder bomb-4      +1
  (  -46,   -24)      27       27           33  boulder bomb-4      +1
  (  -46,   -23)      28       28           33  boulder bomb-4      +1
  (  -46,   -22)      30       30           33  boulder bomb-4      scramble +2
  (  -46,   -21)      33       33           33  boulder bomb-4      BARRIER +3
  (  -46,   -20)      35       35           35  boulder bomb-4      scramble +2
  (  -46,   -19)      37       37           37  boulder bomb-4      scramble +2
  (  -46,   -18)      38       38           38                      +1
  (  -46,   -17)      40       40           40                      scramble +2
  (  -46,   -16)      41       41           41                      +1
  (  -46,   -15)      44       44           44                      BARRIER +3
  (  -46,   -14)      45       45           45                      +1
  (  -46,   -13)      46       46           46                      +1
  (  -46,   -12)      47       47           47                      +1
  (  -46,   -11)      48       48           48                      +1
  (  -46,   -10)      49       49           49                      +1
rises 19, falls 0, worst step 3: 2 barrier, 4 scramble, 0 drop — scramble +2 at (-46, -22); BARRIER +3 at (-46, -21); scramble +2 at (-46, -20); scramble +2 at (-46, -19); scramble +2 at (-46, -17); BARRIER +3 at (-46, -15) | walked end to end
beside: boulder bomb-0 at (-47, -36), boulder bomb-4 at (-48, -26)
