      |          1         0         1         |
      | 98765432109876543210123456789012345678 |
  -29 | NNNNNNNN   LLLLLLLLLLLLLLLL   MMMMMMMM |
  -28 | NNNNNNNN   LLLLLLLLLLLLLLLL   MMMMMMMM |
  -27 | NNNNNNNN   LLLLLLLLLLLLLLLL   MMMMMMMM |
  -26 | NNNNNNNN   LLLLLLLLLLLLLLLL   MMMMMMMM |
  -25 | KKVVVVJJ         SSSS         HHWWWWGG |
  -24 | KKV¤VVJJ         SSSS         HHW¤WWGG |
  -23 | KKVVVVJJ         SS@i         HHWWWWGG |
  -22 | FFFFFFFFF    EEEEEEEEEEEE    DDDDDDDDD |
  -21 | FFFFFFFFF    EEEEEEEEEEEE    DDDDDDDDD |
  -20 | FFFFFFFFF    EEEEEEEEEEEE    DDDDDDDDD |
  -19 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
  -18 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
  -17 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
  -16 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
  -15 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
  -14 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
  -13 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
  -12 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
  -11 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
  -10 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   -9 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -8 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -7 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -6 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -5 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -4 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -3 |        +++++++oooooooooo+++++++        |
   -2 |        +++++++oooooooooo+++++++        |
   -1 |        +++++++oooooooooo+++++++        |
    0 |        +++++++oooooooooo+++++++        |
    1 |        +++++++oooooooooo+++++++        |
    2 |        +++++++oooooooooo+++++++        |
    3 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
    4 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
    5 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
    6 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
    7 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
    8 |      AAAAAAAAAAAAAAAAAAAAAAAAAAAA      |
    9 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   10 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   11 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   12 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   13 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   14 |     BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     |
   15 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
   16 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
   17 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
   18 |        CCCCCCCCCCCCCCCCCCCCCCCC        |
   19 | DDDDDDDDD    EEEEEEEEEEEE    FFFFFFFFF |
   20 | DDDDDDDDD    EEEEEEEEEEEE    FFFFFFFFF |
   21 | DDDDDDDDD    EEEEEEEEEEEE    FFFFFFFFF |
   22 | GGWWWWHH         SSSS         JJVVVVKK |
   23 | GGWW¤WHH         Si@S         JJVV¤VKK |
   24 | GGWWWWHH         SSSS         JJVVVVKK |
   25 | MMMMMMMM   LLLLLLLLLLLLLLLL   NNNNNNNN |
   26 | MMMMMMMM   LLLLLLLLLLLLLLLL   NNNNNNNN |
   27 | MMMMMMMM   LLLLLLLLLLLLLLLL   NNNNNNNN |
   28 | MMMMMMMM   LLLLLLLLLLLLLLLL   NNNNNNNN |
      38 × 58 cells drawn  ·  38 × 58 cells = 190 × 290 blocks  ·  cell 5
      @ spawn   A strand (piece)   B moor (piece)   C neck (piece)   D spur-w (piece)   
      E apron (piece)   F spur-e (piece)   G ledge-w (piece)   H ledge-wi (piece)   
      J ledge-ei (piece)   K ledge-e (piece)   L backdrop (piece)   M crag-w (piece)   
      N crag-e (piece)   S spawn (spawn)   V room-e (wool-room)   W room-w (wool-room)   i iron   
      ¤ wool   
