      |  1         0         1 |
      | 1098765432101234567890 |
  -24 | VVV                WWW |
  -23 | V¤V                W¤W |
  -22 | VVV                WWW |
  -21 | JJJ      SSSS      HHH |
  -20 | JJJ      SS@S      HHH |
  -19 | JJJ      SSSi      HHH |
  -18 | GGGGGGGGGGGGGGGGGGGGGG |
  -17 | GGGGGGGGGGGGGGGGGGGGGG |
  -16 | GGGGGGGGGGGGGGGGGGGGGG |
  -15 | FFFFFFFFooooooEEEEEEEE |
  -14 | FFFFFFFFooooooEEEEEEEE |
  -13 | FFFFFFFFooooooEEEEEEEE |
  -12 | FFFFFFFFooooooEEEEEEEE |
  -11 |  DDDDDooooooooooCCCCC  |
  -10 |  DDDDDooooooooooCCCCC  |
   -9 |  DDDDDooooooooooCCCCC  |
   -8 |  DDDDDooooooooooCCCCC  |
   -7 |  DDDDDooooooooooCCCCC  |
   -6 |  BBBBBBooooooooAAAAAA  |
   -5 |  BBBBBBooooooooAAAAAA  |
   -4 |  BBBBBB++++++++AAAAAA  |
   -3 |  ++++++++++++++++++++  |
   -2 |  ++++++++++++++++++++  |
   -1 |  ++++++++++++++++++++  |
    0 |  ++++++++++++++++++++  |
    1 |  ++++++++++++++++++++  |
    2 |  ++++++++++++++++++++  |
    3 |  AAAAAA++++++++BBBBBB  |
    4 |  AAAAAAooooooooBBBBBB  |
    5 |  AAAAAAooooooooBBBBBB  |
    6 |  CCCCCooooooooooDDDDD  |
    7 |  CCCCCooooooooooDDDDD  |
    8 |  CCCCCooooooooooDDDDD  |
    9 |  CCCCCooooooooooDDDDD  |
   10 |  CCCCCooooooooooDDDDD  |
   11 | EEEEEEEEooooooFFFFFFFF |
   12 | EEEEEEEEooooooFFFFFFFF |
   13 | EEEEEEEEooooooFFFFFFFF |
   14 | EEEEEEEEooooooFFFFFFFF |
   15 | GGGGGGGGGGGGGGGGGGGGGG |
   16 | GGGGGGGGGGGGGGGGGGGGGG |
   17 | GGGGGGGGGGGGGGGGGGGGGG |
   18 | HHH      SSSS      JJJ |
   19 | HHH      SiSS      JJJ |
   20 | HHH      SS@S      JJJ |
   21 | WWW                VVV |
   22 | W¤W                V¤V |
   23 | WWW                VVV |
      22 × 48 cells drawn  ·  22 × 48 cells = 110 × 240 blocks  ·  cell 5
      @ spawn   A tip-w (piece)   B tip-e (piece)   C mid-w (piece)   D mid-e (piece)   
      E moor-w (piece)   F moor-e (piece)   G back (piece)   H sump-app (piece)   J rise (piece)   
      S spawn (spawn)   V wheel (wool-room)   W sump (wool-room)   i iron   ¤ wool   
