      | -1         0         1 |
      | 1098765432101234567890 |
  -24 |          WWWW          |
  -23 |          WWWW          |
  -22 |          WW¤W          |
  -21 |          WWWW          |
  -20 |          WWWW          |
  -19 |      SSSS++AAAA        |
  -18 |      SSSS++AAAA        |
  -17 |      SSSS++AAAA        |
  -16 |      SS@S++AAAA        |
  -15 | BBBB SSSS++AAAA        |
  -14 | BBBB SiSS++AAAA        |
  -13 | BBBBCCCCCCCCCCC        |
  -12 | BBBBCCCCCCCCCCC        |
  -11 | BBBBCCCCCCCCCCC        |
  -10 | BBBBCCCCCCCCCCC        |
   -9 | BBBBCCCCCCCCCCC  DDDD  |
   -8 | BBBBCCCCCCCCCCC  DDDD  |
   -7 | BBBBCCCCCCCCCCC  DDDD  |
   -6 | BBBBCCCCCCCCCCC  DDDD  |
   -5 | BBBBCCCCCCCCCCC  DDDD  |
   -4 | BBBBCCCCCCCCCCC  DDDD  |
   -3 | EEEEEEEEEEEEEEE        |
   -2 | ++++++++++++++++++++++ |
   -1 | ++++++++++++++++++++++ |
    0 | ++++++++++++++++++++++ |
    1 | ++++++++++++++++++++++ |
    2 |        EEEEEEEEEEEEEEE |
    3 |  DDDD  CCCCCCCCCCCBBBB |
    4 |  DDDD  CCCCCCCCCCCBBBB |
    5 |  DDDD  CCCCCCCCCCCBBBB |
    6 |  DDDD  CCCCCCCCCCCBBBB |
    7 |  DDDD  CCCCCCCCCCCBBBB |
    8 |  DDDD  CCCCCCCCCCCBBBB |
    9 |        CCCCCCCCCCCBBBB |
   10 |        CCCCCCCCCCCBBBB |
   11 |        CCCCCCCCCCCBBBB |
   12 |        CCCCCCCCCCCBBBB |
   13 |        AAAA++SSiS BBBB |
   14 |        AAAA++SSSS BBBB |
   15 |        AAAA++SSSS      |
   16 |        AAAA++SS@S      |
   17 |        AAAA++SSSS      |
   18 |        AAAA++SSSS      |
   19 |          WWWW          |
   20 |          WWWW          |
   21 |          WW¤W          |
   22 |          WWWW          |
   23 |          WWWW          |
      22 × 48 cells drawn  ·  22 × 48 cells = 110 × 240 blocks  ·  cell 5
      @ spawn   A hamlet-east-red (piece)   B flank-red (piece)   C approach-red (piece)   
      D garden-red (piece)   E clearing-red (piece)   S spawn-red (spawn)   
      W wool-room-red (wool-room)   i iron   ¤ wool   
