## blue-1 (wool) along x
TRANSECT 25 stations from (-12, 108) to (12, 108), every 1
  station        ground  surface  water  top  standing            step
  (  -12,   108)       9        9            9                      
  (  -11,   108)       9        9            9                      
  (  -10,   108)       9        9           13                      
  (   -9,   108)       9        9           14  wool wool-red-1#1   
  (   -8,   108)       9        9           15  wool wool-red-1#1   
  (   -7,   108)       9        9           16  wool wool-red-1#1   
  (   -6,   108)       9        9           17  wool wool-red-1#1   
  (   -5,   108)       9        9           18  wool wool-red-1#1   
  (   -4,   108)       9        9           19  wool wool-red-1#1   
  (   -3,   108)       9        9           20  wool wool-red-1#1   
  (   -2,   108)       9        9           21  wool wool-red-1#1   
  (   -1,   108)       9        9           50  wool wool-red-1#1   
  (    0,   108)       9        9           50  wool wool-red-1#1   
  (    1,   108)       9        9           50  wool wool-red-1#1   
  (    2,   108)       9        9           20  wool wool-red-1#1   
  (    3,   108)       9        9           19  wool wool-red-1#1   
  (    4,   108)       9        9           18  wool wool-red-1#1   
  (    5,   108)       9        9           17  wool wool-red-1#1   
  (    6,   108)       9        9           16  wool wool-red-1#1   
  (    7,   108)       9        9           15  wool wool-red-1#1   
  (    8,   108)       9        9           14  wool wool-red-1#1   
  (    9,   108)       9        9           13                      
  (   10,   108)       9        9            9                      
  (   11,   108)       9        9            9                      
  (   12,   108)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-red-1#1 at (-9, 106)

## blue-1 (wool) along z
TRANSECT 25 stations from (0, 96) to (0, 120), every 1
  station        ground  surface  water  top  standing            step
  (    0,    96)       9        9            9                      
  (    0,    97)       9        9            9                      
  (    0,    98)       9        9           13                      
  (    0,    99)       9        9           14  wool wool-red-1#1   
  (    0,   100)       9        9           15  wool wool-red-1#1   
  (    0,   101)       9        9           16  wool wool-red-1#1   
  (    0,   102)       9        9           17  wool wool-red-1#1   
  (    0,   103)       9        9           18  wool wool-red-1#1   
  (    0,   104)       9        9           19  wool wool-red-1#1   
  (    0,   105)       9        9           20  wool wool-red-1#1   
  (    0,   106)       9        9           21  wool wool-red-1#1   
  (    0,   107)       9        9           50  wool wool-red-1#1   
  (    0,   108)       9        9           50  wool wool-red-1#1   
  (    0,   109)       9        9           50  wool wool-red-1#1   
  (    0,   110)       9        9           20  wool wool-red-1#1   
  (    0,   111)       9        9           19  wool wool-red-1#1   
  (    0,   112)       9        9           18  wool wool-red-1#1   
  (    0,   113)       9        9           17  wool wool-red-1#1   
  (    0,   114)       9        9           16  wool wool-red-1#1   
  (    0,   115)       9        9           15  wool wool-red-1#1   
  (    0,   116)       9        9           14  wool wool-red-1#1   
  (    0,   117)       9        9           13                      
  (    0,   118)       9        9            9                      
  (    0,   119)       9        9            9                      
  (    0,   120)       9        9            9                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: redstoneline 0#1 at (-2, 95), redstoneline 1#1 at (0, 95), wool wool-red-1#1 at (-2, 99)
