## relic-1-0 (destroyable) along x
TRANSECT 25 stations from (-12, -70) to (12, -70), every 1
  station        ground  surface  water  top  standing            step
  (  -12,   -70)      12       12           12                      
  (  -11,   -70)      12       12           12                      
  (  -10,   -70)      12       12           12                      
  (   -9,   -70)      12       12           12                      
  (   -8,   -70)      12       12           12                      
  (   -7,   -70)      12       12           12                      
  (   -6,   -70)      12       12           12                      
  (   -5,   -70)      11       11           11                      -1
  (   -4,   -70)       9        9            9                      -2
  (   -3,   -70)       7        7            7                      -2
  (   -2,   -70)       5        5            5  destroyable relic-1  -2
  (   -1,   -70)       5        5           79  destroyable relic-1  
  (    0,   -70)       5        5           80  destroyable relic-1  
  (    1,   -70)       5        5           79  destroyable relic-1  
  (    2,   -70)       7        7            7  destroyable relic-1  scramble +2
  (    3,   -70)       9        9            9                      scramble +2
  (    4,   -70)      11       11           11                      scramble +2
  (    5,   -70)      12       12           12                      +1
  (    6,   -70)      12       12           12                      
  (    7,   -70)      12       12           12                      
  (    8,   -70)      12       12           12                      
  (    9,   -70)      12       12           12                      
  (   10,   -70)      12       12           12                      
  (   11,   -70)      12       12           12                      
  (   12,   -70)      12       12           12                      
rises 4, falls 4, worst step 2: 0 barrier, 3 scramble, 0 drop — scramble +2 at (2, -70); scramble +2 at (3, -70); scramble +2 at (4, -70) | walked end to end
beside: destroyable relic-1 at (-2, -72)

## relic-1-0 (destroyable) along z
TRANSECT 25 stations from (0, -82) to (0, -58), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -82)      11       11           11  stroke dig-road     
  (    0,   -81)      12       12           12  stroke dig-road     +1
  (    0,   -80)      12       12           12                      
  (    0,   -79)      12       12           12                      
  (    0,   -78)      12       12           12                      
  (    0,   -77)      12       12           12                      
  (    0,   -76)      12       12           12                      
  (    0,   -75)      12       12           12                      
  (    0,   -74)      11       11           11                      -1
  (    0,   -73)       9        9            9                      -2
  (    0,   -72)       6        6            6  destroyable relic-1  -3
  (    0,   -71)       5        5           79  destroyable relic-1  -1
  (    0,   -70)       5        5           80  destroyable relic-1  
  (    0,   -69)       6        6           79  destroyable relic-1  +1
  (    0,   -68)       9        9            9  destroyable relic-1  BARRIER +3
  (    0,   -67)      11       11           11                      scramble +2
  (    0,   -66)      12       12           12                      +1
  (    0,   -65)      12       12           12                      
  (    0,   -64)      12       12           12                      
  (    0,   -63)      12       12           12                      
  (    0,   -62)      12       12           12                      
  (    0,   -61)      12       12           12                      
  (    0,   -60)      11       11           11                      -1
  (    0,   -59)      11       11           11                      
  (    0,   -58)      11       11           11                      
rises 5, falls 5, worst step 3: 1 barrier, 1 scramble, 0 drop — BARRIER +3 at (0, -68); scramble +2 at (0, -67) | walked end to end
beside: stroke dig-road at (-2, -84), destroyable relic-1 at (-2, -72)
