      | 2        -1         0         1          |
      | 0987654321098765432101234567890123456789 |
  -23 |           HHHHHHHHHHWWWWWWGGGG           |
  -22 |           HHHHHHHHHHWWWWWWGGGG           |
  -21 |           HHHHHHHHHHWWW¤WWGGGG           |
  -20 |           HHHHHHHHHHWWWWWWGGGG           |
  -19 |           FFFFFFFFFFFFFFFFFFFF           |
  -18 |           FFFFFFFFFFFFFFFFFFFF           |
  -17 |           EEEEEEEEEEDSSSSSSCCC           |
  -16 |           EEEEEEEEEEDSSSSSSCCC           |
  -15 |           EEEEEEEEEEDSSS@SSCCC           |
  -14 | JJJJJJJ   EEEEEEEEEEDSSSSSSCCC           |
  -13 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
  -12 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
  -11 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
  -10 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
   -9 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
   -8 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
   -7 | JJJJJJJ+++BBBBBBBBBBBBBBBBBBBB           |
   -6 |           AAAAAAAAAAAAAAAAAAAA           |
   -5 |           AAAAAAAAAAAAAAAAAAAA           |
   -4 |           AAAAAAAAAAAAAAAAAAAA           |
   -3 |             ++++++++++++++++             |
   -2 |             ++++++++++++++++             |
   -1 |             ++++++++++++++++             |
    0 |             ++++++++++++++++             |
    1 |             ++++++++++++++++             |
    2 |             ++++++++++++++++             |
    3 |           AAAAAAAAAAAAAAAAAAAA           |
    4 |           AAAAAAAAAAAAAAAAAAAA           |
    5 |           AAAAAAAAAAAAAAAAAAAA           |
    6 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
    7 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
    8 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
    9 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
   10 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
   11 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
   12 |           BBBBBBBBBBBBBBBBBBBB+++JJJJJJJ |
   13 |           CCCSSSSSSDEEEEEEEEEE   JJJJJJJ |
   14 |           CCCSSSSSSDEEEEEEEEEE           |
   15 |           CCCSSS@SSDEEEEEEEEEE           |
   16 |           CCCSSSSSSDEEEEEEEEEE           |
   17 |           FFFFFFFFFFFFFFFFFFFF           |
   18 |           FFFFFFFFFFFFFFFFFFFF           |
   19 |           GGGGWWWWWWHHHHHHHHHH           |
   20 |           GGGGWWWWWWHHHHHHHHHH           |
   21 |           GGGGWWW¤WWHHHHHHHHHH           |
   22 |           GGGGWWWWWWHHHHHHHHHH           |
      40 × 46 cells drawn  ·  40 × 46 cells = 200 × 230 blocks  ·  cell 5
      @ spawn   A quay (piece)   B warehouse (piece)   C back-w (piece)   D back-mid (piece)   
      E back-e (piece)   F rear (piece)   G wool-w (piece)   H wool-e (piece)   J skerry (piece)   
      S spawn (spawn)   W wool (wool-room)   ¤ wool   
