      |          0         |
      | 987654321012345678 |
  -23 |       SSSSSS       |
  -22 |       SSSSSS       |
  -21 |       SSS@SS       |
  -20 |       SSSSSS       |
  -19 | AAAAAAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAOAAAAA |
  -12 | AAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAA |
   -3 | ++++++++++++++++++ |
   -2 | ++++++++++++++++++ |
   -1 | ++++++++++++++++++ |
    0 | ++++++++++++++++++ |
    1 | ++++++++++++++++++ |
    2 | ++++++++++++++++++ |
    3 | AAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAA |
   12 | AAAAAOAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAAAAAA |
   19 |       SSSSSS       |
   20 |       SSSSSS       |
   21 |       SSS@SS       |
   22 |       SSSSSS       |
      18 × 46 cells drawn  ·  18 × 46 cells = 90 × 230 blocks  ·  cell 5
      @ spawn   A yard-0 (piece)   O core   S spawn-0 (spawn)   
