## destroyable-1-0 (destroyable) along x
TRANSECT 25 stations from (-10, -60) to (14, -60), every 1
  station        ground  surface  water  top  standing            step
  (  -10,   -60)      20       20           20                      
  (   -9,   -60)      20       20           20                      
  (   -8,   -60)      15       15           15                      DROP -5
  (   -7,   -60)      15       15           15                      
  (   -6,   -60)      15       15           15                      
  (   -5,   -60)      15       15           15                      
  (   -4,   -60)      15       15           15                      
  (   -3,   -60)      20       20           20                      BARRIER +5
  (   -2,   -60)      20       20           20                      
  (   -1,   -60)      20       20           20                      
  (    0,   -60)      20       20           20  destroyable destroyable-1  
  (    1,   -60)      20       20           64  destroyable destroyable-1  
  (    2,   -60)      20       20           65  destroyable destroyable-1  
  (    3,   -60)      20       20           64  destroyable destroyable-1  
  (    4,   -60)      20       20           20  destroyable destroyable-1  
  (    5,   -60)      20       20           20                      
  (    6,   -60)      20       20           20                      
  (    7,   -60)      20       20           20                      
  (    8,   -60)      20       20           20                      
  (    9,   -60)      20       20           20                      
  (   10,   -60)      20       20           20                      
  (   11,   -60)      20       20           20                      
  (   12,   -60)      20       20           20                      
  (   13,   -60)      20       20           20                      
  (   14,   -60)      20       20           20                      
rises 1, falls 1, worst step 5: 1 barrier, 0 scramble, 1 drop — DROP -5 at (-8, -60); BARRIER +5 at (-3, -60) | walked end to end
beside: destroyable destroyable-1 at (0, -62)

## destroyable-1-0 (destroyable) along z
TRANSECT 25 stations from (2, -72) to (2, -48), every 1
  station        ground  surface  water  top  standing            step
  (    2,   -72)      20       20           20                      
  (    2,   -71)      20       20           20                      
  (    2,   -70)      20       20           20                      
  (    2,   -69)      20       20           20                      
  (    2,   -68)      20       20           20                      
  (    2,   -67)      20       20           20                      
  (    2,   -66)      20       20           20                      
  (    2,   -65)      20       20           20                      
  (    2,   -64)      20       20           20                      
  (    2,   -63)      20       20           20                      
  (    2,   -62)      20       20           20  destroyable destroyable-1  
  (    2,   -61)      20       20           64  destroyable destroyable-1  
  (    2,   -60)      20       20           65  destroyable destroyable-1  
  (    2,   -59)      20       20           64  destroyable destroyable-1  
  (    2,   -58)      20       20           20  destroyable destroyable-1  
  (    2,   -57)      19       19           19                      -1
  (    2,   -56)      17       17           17                      -2
  (    2,   -55)      16       16           16                      -1
  (    2,   -54)      15       15           15                      -1
  (    2,   -53)      14       14           14                      -1
  (    2,   -52)      14       14           14                      
  (    2,   -51)      12       12           12                      -2
  (    2,   -50)      12       12           12                      
  (    2,   -49)      12       12           12                      
  (    2,   -48)      12       12           12                      
rises 0, falls 6, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable destroyable-1 at (0, -62)
