## spawn-blue (spawn) along x
TRANSECT 37 stations from (-18, 100) to (18, 100), every 1
  station        ground  surface  water  top  standing            step
  (  -18,   100)      26       26           26                      
  (  -17,   100)      26       26           26                      
  (  -16,   100)      26       26           26                      
  (  -15,   100)      26       26           26                      
  (  -14,   100)      26       26           26                      
  (  -13,   100)      26       26           26                      
  (  -12,   100)      26       26           26                      
  (  -11,   100)      26       26           26                      
  (  -10,   100)      26       26           26                      
  (   -9,   100)      26       26           26                      
  (   -8,   100)      26       26           26                      
  (   -7,   100)      26       26           26                      
  (   -6,   100)      26       26           37                      
  (   -5,   100)      26       26           37  spawn spawn-1#1     
  (   -4,   100)      26       26           37  spawn spawn-1#1     
  (   -3,   100)      26       26           37  spawn spawn-1#1     
  (   -2,   100)      26       26           37  spawn spawn-1#1     
  (   -1,   100)      26       26           37  spawn spawn-1#1     
  (    0,   100)      26       26           37  spawn spawn-1#1     
  (    1,   100)      26       26           37  spawn spawn-1#1     
  (    2,   100)      26       26           37  spawn spawn-1#1     
  (    3,   100)      26       26           37  spawn spawn-1#1     
  (    4,   100)      26       26           37  spawn spawn-1#1     
  (    5,   100)      26       26           37                      
  (    6,   100)      26       26           26                      
  (    7,   100)      26       26           26                      
  (    8,   100)      26       26           26                      
  (    9,   100)      26       26           26                      
  (   10,   100)      26       26           26                      
  (   11,   100)      26       26           26                      
  (   12,   100)      26       26           26                      
  (   13,   100)      26       26           26                      
  (   14,   100)      26       26           26                      
  (   15,   100)      26       26           26                      
  (   16,   100)      26       26           26                      
  (   17,   100)      26       26           26                      
  (   18,   100)      26       26           26                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: tree fir-5#1 at (-20, 98), flora sward#1 at (-20, 99), spawn spawn-1#1 at (-5, 98)

## spawn-blue (spawn) along z
TRANSECT 28 stations from (0, 82) to (0, 109), every 1
  station        ground  surface  water  top  standing            step
  (    0,    82)      22       22           22                      
  (    0,    83)      23       23           23                      +1
  (    0,    84)      23       23           23                      
  (    0,    85)      23       23           23                      
  (    0,    86)      24       24           24                      +1
  (    0,    87)      24       24           24                      
  (    0,    88)      25       25           25                      +1
  (    0,    89)      25       25           25                      
  (    0,    90)      26       26           26  stroke road#1       +1
  (    0,    91)      26       26           26  stroke road#1       
  (    0,    92)      26       26           26  stroke road#1       
  (    0,    93)      26       26           26  stroke road#1       
  (    0,    94)      26       26           26  stroke road#1       
  (    0,    95)      26       26           26  stroke road#1       
  (    0,    96)      26       26           33  stroke road#1       
  (    0,    97)      26       26           34  spawn spawn-1#1     
  (    0,    98)      26       26           35  spawn spawn-1#1     
  (    0,    99)      26       26           36  spawn spawn-1#1     
  (    0,   100)      26       26           37  spawn spawn-1#1     
  (    0,   101)      26       26           38  spawn spawn-1#1     
  (    0,   102)      26       26           38  spawn spawn-1#1     
  (    0,   103)      26       26           37  spawn spawn-1#1     
  (    0,   104)      26       26           36  spawn spawn-1#1     
  (    0,   105)      26       26           35  spawn spawn-1#1     
  (    0,   106)      26       26           34  spawn spawn-1#1     
  (    0,   107)      26       26           33                      
  (    0,   108)      26       26           26                      
  (    0,   109)      26       26           26                      
rises 4, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke road#1 at (-2, 90), spawn spawn-1#1 at (-2, 97)
