## spawn-red (spawn) along x
TRANSECT 37 stations from (-18, -100) to (18, -100), every 1
  station        ground  surface  water  top  standing            step
  (  -18,  -100)      26       26           26                      
  (  -17,  -100)      26       26           26                      
  (  -16,  -100)      26       26           26                      
  (  -15,  -100)      26       26           26                      
  (  -14,  -100)      26       26           26                      
  (  -13,  -100)      26       26           26                      
  (  -12,  -100)      26       26           26                      
  (  -11,  -100)      26       26           26                      
  (  -10,  -100)      26       26           26                      
  (   -9,  -100)      26       26           26                      
  (   -8,  -100)      26       26           26                      
  (   -7,  -100)      26       26           26                      
  (   -6,  -100)      26       26           36                      
  (   -5,  -100)      26       26           36  spawn spawn-1       
  (   -4,  -100)      26       26           36  spawn spawn-1       
  (   -3,  -100)      26       26           36  spawn spawn-1       
  (   -2,  -100)      26       26           36  spawn spawn-1       
  (   -1,  -100)      26       26           36  spawn spawn-1       
  (    0,  -100)      26       26           36  spawn spawn-1       
  (    1,  -100)      26       26           36  spawn spawn-1       
  (    2,  -100)      26       26           36  spawn spawn-1       
  (    3,  -100)      26       26           36  spawn spawn-1       
  (    4,  -100)      26       26           36  spawn spawn-1       
  (    5,  -100)      26       26           36                      
  (    6,  -100)      26       26           26                      
  (    7,  -100)      26       26           26                      
  (    8,  -100)      26       26           26                      
  (    9,  -100)      26       26           26                      
  (   10,  -100)      26       26           26                      
  (   11,  -100)      26       26           26                      
  (   12,  -100)      26       26           26                      
  (   13,  -100)      26       26           26                      
  (   14,  -100)      26       26           26                      
  (   15,  -100)      26       26           26                      
  (   16,  -100)      26       26           26                      
  (   17,  -100)      26       26           26                      
  (   18,  -100)      26       26           34  tree fir-5          
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-5, -102), tree fir-5 at (18, -102)

## spawn-red (spawn) along z
TRANSECT 29 stations from (0, -110) to (0, -82), every 1
  station        ground  surface  water  top  standing            step
  (    0,  -110)      26       26           26                      
  (    0,  -109)      26       26           26                      
  (    0,  -108)      26       26           33                      
  (    0,  -107)      26       26           34  spawn spawn-1       
  (    0,  -106)      26       26           35  spawn spawn-1       
  (    0,  -105)      26       26           36  spawn spawn-1       
  (    0,  -104)      26       26           37  spawn spawn-1       
  (    0,  -103)      26       26           38  spawn spawn-1       
  (    0,  -102)      26       26           38  spawn spawn-1       
  (    0,  -101)      26       26           37  spawn spawn-1       
  (    0,  -100)      26       26           36  spawn spawn-1       
  (    0,   -99)      26       26           35  spawn spawn-1       
  (    0,   -98)      26       26           34  spawn spawn-1       
  (    0,   -97)      26       26           33  stroke road         
  (    0,   -96)      26       26           26  stroke road         
  (    0,   -95)      26       26           26  stroke road         
  (    0,   -94)      26       26           26  stroke road         
  (    0,   -93)      26       26           26  stroke road         
  (    0,   -92)      26       26           26  stroke road         
  (    0,   -91)      26       26           26  stroke road         
  (    0,   -90)      25       25           25                      -1
  (    0,   -89)      25       25           25                      
  (    0,   -88)      24       24           24                      -1
  (    0,   -87)      24       24           24                      
  (    0,   -86)      23       23           23                      -1
  (    0,   -85)      23       23           23                      
  (    0,   -84)      22       22           22                      -1
  (    0,   -83)      22       22           22                      
  (    0,   -82)      22       22           22                      
rises 0, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-2, -107), stroke road at (-1, -97)
