## stone-3 (boulder) along x
TRANSECT 25 stations from (2, -72) to (26, -72), every 1
  station        ground  surface  water  top  standing            step
  (    2,   -72)      20       20           20                      
  (    3,   -72)      20       20           20                      
  (    4,   -72)      20       20           20                      
  (    5,   -72)      20       20           20                      
  (    6,   -72)      20       20           20                      
  (    7,   -72)      20       20           20                      
  (    8,   -72)      20       20           20                      
  (    9,   -72)      20       20           20                      
  (   10,   -72)      20       20           20                      
  (   11,   -72)      20       20           20                      
  (   12,   -72)      20       20           24  boulder stone-3     
  (   13,   -72)      20       20           24  boulder stone-3     
  (   14,   -72)      20       20           25  boulder stone-3     
  (   15,   -72)      20       20           24  boulder stone-3     
  (   16,   -72)      20       20           24  boulder stone-3     
  (   17,   -72)      20       20           20                      
  (   18,   -72)      20       20           20                      
  (   19,   -72)      20       20           20                      
  (   20,   -72)      20       20           20                      
  (   21,   -72)      20       20           20                      
  (   22,   -72)      20       20           20                      
  (   23,   -72)      20       20           20                      
  (   24,   -72)      20       20           20                      
  (   25,   -72)      20       20           20                      
  (   26,   -72)      20       20           20                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder stone-3 at (12, -74)

## stone-3 (boulder) along z
TRANSECT 25 stations from (14, -84) to (14, -60), every 1
  station        ground  surface  water  top  standing            step
  (   14,   -84)      26       26           26                      
  (   14,   -83)      26       26           26                      
  (   14,   -82)      26       26           26                      
  (   14,   -81)      24       24           24                      -2
  (   14,   -80)      23       23           23                      -1
  (   14,   -79)      21       21           21                      -2
  (   14,   -78)      20       20           20                      -1
  (   14,   -77)      20       20           20                      
  (   14,   -76)      20       20           20                      
  (   14,   -75)      20       20           22  boulder stone-3     
  (   14,   -74)      20       20           24  boulder stone-3     
  (   14,   -73)      20       20           24  boulder stone-3     
  (   14,   -72)      20       20           25  boulder stone-3     
  (   14,   -71)      20       20           24  boulder stone-3     
  (   14,   -70)      20       20           24  boulder stone-3     
  (   14,   -69)      20       20           20                      
  (   14,   -68)      20       20           20                      
  (   14,   -67)      20       20           20                      
  (   14,   -66)      20       20           20                      
  (   14,   -65)      20       20           20                      
  (   14,   -64)      20       20           20                      
  (   14,   -63)      20       20           20                      
  (   14,   -62)      20       20           20                      
  (   14,   -61)      20       20           20                      
  (   14,   -60)      20       20           20                      
rises 0, falls 4, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder stone-3 at (14, -75)
