      | 1         0          |
      | 09876543210123456789 |
  -18 | BBBBBBBBSSSSCCCCCCCC |
  -17 | BBBBBBBBSS@SCCCCCCCC |
  -16 | BBBBBBBBSSSSCCCCCCCC |
  -15 | AAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAA!AAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAA |
   -2 | ++++++++++++++++++++ |
   -1 | ++++++++++++++++++++ |
    0 | ++++++++++++++++++++ |
    1 | ++++++++++++++++++++ |
    2 | AAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAA!AAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAA |
   15 | CCCCCCCCSSSSBBBBBBBB |
   16 | CCCCCCCCSS@SBBBBBBBB |
   17 | CCCCCCCCSSSSBBBBBBBB |
      20 × 36 cells drawn  ·  20 × 36 cells = 100 × 180 blocks  ·  cell 5
      ! destroyable   @ spawn   A dale (piece)   B head-w (piece)   C head-e (piece)   
      S spawn (spawn)   
