## destroyable-1-0 (destroyable) along x
TRANSECT 25 stations from (-12, -44) to (12, -44), every 1
  station        ground  surface  water  top  standing            step
  (  -12,   -44)      15       15           15                      
  (  -11,   -44)      14       14           14                      -1
  (  -10,   -44)      14       14           14                      
  (   -9,   -44)      14       14           14                      
  (   -8,   -44)      14       14           14                      
  (   -7,   -44)      14       14           14                      
  (   -6,   -44)      14       14           14                      
  (   -5,   -44)      14       14           14                      
  (   -4,   -44)      14       14           14                      
  (   -3,   -44)      14       14           14                      
  (   -2,   -44)      14       14           14  destroyable destroyable-1  
  (   -1,   -44)      14       14           56  destroyable destroyable-1  
  (    0,   -44)      14       14           57  destroyable destroyable-1  
  (    1,   -44)      14       14           56  destroyable destroyable-1  
  (    2,   -44)      14       14           14  destroyable destroyable-1  
  (    3,   -44)      14       14           14                      
  (    4,   -44)      14       14           14                      
  (    5,   -44)      14       14           14                      
  (    6,   -44)      14       14           14                      
  (    7,   -44)      14       14           14                      
  (    8,   -44)      14       14           14                      
  (    9,   -44)      14       14           14                      
  (   10,   -44)      14       14           14                      
  (   11,   -44)      14       14           14                      
  (   12,   -44)      15       15           15                      +1
rises 1, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable destroyable-1 at (-2, -46)

## destroyable-1-0 (destroyable) along z
TRANSECT 25 stations from (0, -56) to (0, -32), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -56)      15       15           15                      
  (    0,   -55)      15       15           15                      
  (    0,   -54)      15       15           15                      
  (    0,   -53)      15       15           15                      
  (    0,   -52)      15       15           15                      
  (    0,   -51)      14       14           14                      -1
  (    0,   -50)      14       14           14                      
  (    0,   -49)      14       14           14                      
  (    0,   -48)      14       14           14                      
  (    0,   -47)      14       14           14                      
  (    0,   -46)      14       14           14  destroyable destroyable-1  
  (    0,   -45)      14       14           56  destroyable destroyable-1  
  (    0,   -44)      14       14           57  destroyable destroyable-1  
  (    0,   -43)      14       14           56  destroyable destroyable-1  
  (    0,   -42)      14       14           14  destroyable destroyable-1  
  (    0,   -41)      13       13           13                      -1
  (    0,   -40)      13       13           13                      
  (    0,   -39)      13       13           13                      
  (    0,   -38)      13       13           13                      
  (    0,   -37)      12       12           12                      -1
  (    0,   -36)      12       12           12                      
  (    0,   -35)      11       11           11                      -1
  (    0,   -34)      11       11           11                      
  (    0,   -33)      11       11           11                      
  (    0,   -32)      11       11           11                      
rises 0, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable destroyable-1 at (-2, -46)
