## spawn-blue (spawn) along x
TRANSECT 37 stations from (-18, 82) to (18, 82), every 1
  station        ground  surface  water  top  standing            step
  (  -18,    82)      18       18           18                      
  (  -17,    82)      18       18           18                      
  (  -16,    82)      18       18           18                      
  (  -15,    82)      18       18           18                      
  (  -14,    82)      18       18           18                      
  (  -13,    82)      18       18           18                      
  (  -12,    82)      18       18           18                      
  (  -11,    82)      18       18           18                      
  (  -10,    82)      18       18           18                      
  (   -9,    82)      18       18           18                      
  (   -8,    82)      18       18           18                      
  (   -7,    82)      18       18           30                      
  (   -6,    82)      18       18           30  spawn spawn-1#1     
  (   -5,    82)      18       18           30  spawn spawn-1#1     
  (   -4,    82)      18       18           30  spawn spawn-1#1     
  (   -3,    82)      18       18           30  spawn spawn-1#1     
  (   -2,    82)      18       18           30  spawn spawn-1#1     
  (   -1,    82)      18       18           30  spawn spawn-1#1     
  (    0,    82)      18       18           30  spawn spawn-1#1     
  (    1,    82)      18       18           30  spawn spawn-1#1     
  (    2,    82)      18       18           30  spawn spawn-1#1     
  (    3,    82)      18       18           30  spawn spawn-1#1     
  (    4,    82)      18       18           30  spawn spawn-1#1     
  (    5,    82)      18       18           30  spawn spawn-1#1     
  (    6,    82)      18       18           30                      
  (    7,    82)      18       18           18                      
  (    8,    82)      18       18           18                      
  (    9,    82)      18       18           18                      
  (   10,    82)      18       18           18                      
  (   11,    82)      18       18           18                      
  (   12,    82)      18       18           18                      
  (   13,    82)      18       18           18                      
  (   14,    82)      18       18           18                      
  (   15,    82)      18       18           18                      
  (   16,    82)      18       18           18                      
  (   17,    82)      18       18           18                      
  (   18,    82)      18       18           18                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-6, 80)

## spawn-blue (spawn) along z
TRANSECT 23 stations from (0, 67) to (0, 89), every 1
  station        ground  surface  water  top  standing            step
  (    0,    67)      17       17           17  stroke track#1      
  (    0,    68)      18       18           18  stroke track#1      +1
  (    0,    69)      18       18           18  stroke track#1      
  (    0,    70)      18       18           18  stroke track#1      
  (    0,    71)      18       18           18                      
  (    0,    72)      18       18           18                      
  (    0,    73)      18       18           18                      
  (    0,    74)      18       18           18                      
  (    0,    75)      18       18           18                      
  (    0,    76)      18       18           25                      
  (    0,    77)      18       18           26  spawn spawn-1#1     
  (    0,    78)      18       18           27  spawn spawn-1#1     
  (    0,    79)      18       18           28  spawn spawn-1#1     
  (    0,    80)      18       18           29  spawn spawn-1#1     
  (    0,    81)      18       18           30  spawn spawn-1#1     
  (    0,    82)      18       18           30  spawn spawn-1#1     
  (    0,    83)      18       18           29  spawn spawn-1#1     
  (    0,    84)      18       18           28  spawn spawn-1#1     
  (    0,    85)      18       18           27  spawn spawn-1#1     
  (    0,    86)      18       18           26  spawn spawn-1#1     
  (    0,    87)      18       18           25                      
  (    0,    88)      18       18           18                      
  (    0,    89)      18       18           18                      
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke track#1 at (0, 65), spawn spawn-1#1 at (-2, 77)
