## spawn-red (spawn) along x
TRANSECT 37 stations from (-18, -88) to (18, -88), every 1
  station        ground  surface  water  top  standing            step
  (  -18,   -88)      18       18           18                      
  (  -17,   -88)      18       18           18                      
  (  -16,   -88)      18       18           18                      
  (  -15,   -88)      18       18           18                      
  (  -14,   -88)      18       18           18                      
  (  -13,   -88)      18       18           18                      
  (  -12,   -88)      18       18           18                      
  (  -11,   -88)      18       18           18                      
  (  -10,   -88)      18       18           18                      
  (   -9,   -88)      18       18           18                      
  (   -8,   -88)      18       18           18                      
  (   -7,   -88)      18       18           30                      
  (   -6,   -88)      18       18           30  spawn spawn-1       
  (   -5,   -88)      18       18           30  spawn spawn-1       
  (   -4,   -88)      18       18           30  spawn spawn-1       
  (   -3,   -88)      18       18           30  spawn spawn-1       
  (   -2,   -88)      18       18           30  spawn spawn-1       
  (   -1,   -88)      18       18           30  spawn spawn-1       
  (    0,   -88)      18       18           30  spawn spawn-1       
  (    1,   -88)      18       18           30  spawn spawn-1       
  (    2,   -88)      18       18           30  spawn spawn-1       
  (    3,   -88)      18       18           30  spawn spawn-1       
  (    4,   -88)      18       18           30  spawn spawn-1       
  (    5,   -88)      18       18           30  spawn spawn-1       
  (    6,   -88)      18       18           30                      
  (    7,   -88)      18       18           18                      
  (    8,   -88)      18       18           18                      
  (    9,   -88)      18       18           18                      
  (   10,   -88)      18       18           18                      
  (   11,   -88)      18       18           18                      
  (   12,   -88)      18       18           18                      
  (   13,   -88)      18       18           18                      
  (   14,   -88)      18       18           18                      
  (   15,   -88)      18       18           18                      
  (   16,   -88)      18       18           18                      
  (   17,   -88)      18       18           18                      
  (   18,   -88)      18       18           18                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-6, -90)

## spawn-red (spawn) along z
TRANSECT 24 stations from (0, -95) to (0, -72), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -95)      18       18           18                      
  (    0,   -94)      18       18           18                      
  (    0,   -93)      18       18           25                      
  (    0,   -92)      18       18           26  spawn spawn-1       
  (    0,   -91)      18       18           27  spawn spawn-1       
  (    0,   -90)      18       18           28  spawn spawn-1       
  (    0,   -89)      18       18           29  spawn spawn-1       
  (    0,   -88)      18       18           30  spawn spawn-1       
  (    0,   -87)      18       18           30  spawn spawn-1       
  (    0,   -86)      18       18           29  spawn spawn-1       
  (    0,   -85)      18       18           28  spawn spawn-1       
  (    0,   -84)      18       18           27  spawn spawn-1       
  (    0,   -83)      18       18           26  spawn spawn-1       
  (    0,   -82)      18       18           25                      
  (    0,   -81)      18       18           18                      
  (    0,   -80)      18       18           18                      
  (    0,   -79)      18       18           18  stroke track        
  (    0,   -78)      18       18           18  stroke track        
  (    0,   -77)      18       18           18  stroke track        
  (    0,   -76)      18       18           18  stroke track        
  (    0,   -75)      18       18           18                      
  (    0,   -74)      18       18           18                      
  (    0,   -73)      18       18           18                      
  (    0,   -72)      17       17           17                      -1
rises 0, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-2, -92), stroke track at (-1, -79)
