## spawn-red -> destroyable-1-0
ROUTE (-55, -50) -> (-29, -28) aim travel: 35 blocks, 1 placed, 0 drop(s), worst drop 0
  place            y   step
  (-55, -50)        26
  (-54, -50)        26
  (-53, -50)        26
  (-52, -50)        26
  (-51, -50)        26
  (-50, -49)        26
  (-49, -48)        26
  (-48, -47)        26
  (-47, -46)        26
  (-46, -45)        26
  (-45, -44)        26
  (-44, -43)        25
  (-43, -42)        24
  (-42, -41)        23
  (-41, -40)        23
  (-40, -39)        22
  (-39, -38)        22
  (-38, -37)        21
  (-37, -36)        20
  (-36, -35)        20
  (-35, -34)        20
  (-34, -33)        22   scramble +2
  (-33, -32)        20
  (-32, -31)        20
  (-31, -30)        21
  (-30, -29)        21
  (-29, -28)        21
rises 1, falls 0, worst step 2: scramble +2 at (-34, -33)
beside: destroyable destroyable-1 at (-29, -28) d0, spawn spawn-1 at (-55, -50) d0

## spawn-red -> destroyable-1-1
ROUTE (-55, -50) -> (28, 27) aim travel: 127 blocks, 10 placed, 1 drop(s), worst drop 11
  place            y   step
  (-55, -50)        26
  (-54, -50)        26
  (-53, -50)        26
  (-52, -50)        26
  (-51, -50)        26
  (-50, -50)        26
  (-49, -50)        26
  (-48, -50)        26
  (-47, -50)        26
  (-46, -50)        26
  (-45, -50)        27
  (-44, -49)        26
  (-43, -48)        25
  (-42, -47)        25
  (-41, -46)        24
  (-40, -45)        23
  (-39, -44)        23
  (-38, -43)        22
  (-37, -42)        21
  (-36, -41)        21
  (-35, -40)        20
  (-34, -39)        20
  (-33, -38)        20
  (-32, -37)        20
  (-31, -36)        21
  (-30, -35)        22
  (-29, -34)        22
  (-28, -33)        21
  (-27, -32)        21
  (-26, -31)        20
  (-25, -30)        20
  (-24, -29)        21
  (-23, -28)        21
  (-22, -27)        21
  (-21, -26)        21
  (-20, -25)        21
  (-19, -24)        20
  (-18, -23)        20
  (-17, -22)        19
  (-16, -21)        18
  (-15, -20)        18
  (-14, -19)        17
  (-13, -18)        16
  (-12, -17)        16
  (-11, -16)        14
  (-10, -15)        14
  (-9, -15)         15
  (-8, -14)         14
  (-7, -13)         14
  (-6, -12)         14
  (-5, -11)         14
  (-4, -10)         14
  (-3, -9)          14
  (-2, -8)          16   scramble +2
  (-1, -7)          16
  (0, -6)           16
  (1, -5)           16
  (1, -4)           16
  (1, -3)           16
  (1, -2)           16
  (1, -1)           16
  (1, 0)            16
  (1, 1)            16
  (2, 2)            16
  (3, 3)            17
  (4, 4)             6   drop -11
  (5, 5)            15   barrier +9
  (6, 5)            15
  (7, 6)            15
  (8, 7)            14
  (9, 8)            14
  (10, 9)           14
  (11, 10)          14
  (12, 11)          14
  (13, 12)          14
  (14, 13)          14
  (15, 14)          15
  (16, 15)          16
  (17, 16)          16
  (18, 17)          17
  (19, 18)          17
  (20, 19)          18
  (21, 20)          19
  (22, 21)          19
  (23, 22)          20
  (24, 23)          22   scramble +2
  (25, 24)          20
  (26, 25)          20
  (27, 26)          20
  (28, 27)          21
rises 3, falls 1, worst step 11: scramble +2 at (-2, -8); drop -11 at (4, 4); barrier +9 at (5, 5); scramble +2 at (24, 23)
beside: destroyable destroyable-1#1 at (28, 27) d0, spawn spawn-1 at (-55, -50) d0, tree tree-7 at (-11, -16) d0, water beck#1 at (1, -4) d0, tree tree-6#1 at (20, 17) d1, tree tree-8 at (-6, -14) d1, water beck at (-1, -5) d1, tree tree-2 at (-32, -40) d2

## spawn-blue -> destroyable-1-0
ROUTE (55, 50) -> (-29, -28) aim travel: 128 blocks, 13 placed, 1 drop(s), worst drop 9
  place            y   step
  (55, 50)          26
  (54, 50)          26
  (53, 50)          26
  (52, 50)          26
  (51, 50)          26
  (50, 50)          26
  (49, 49)          26
  (48, 48)          26
  (47, 47)          26
  (46, 46)          26
  (45, 45)          26
  (44, 44)          26
  (43, 43)          25
  (42, 42)          25
  (41, 41)          23
  (40, 40)          24
  (39, 39)          23
  (38, 38)          22
  (37, 37)          22
  (36, 36)          20
  (35, 35)          20
  (34, 34)          20
  (33, 33)          20
  (32, 32)          22   scramble +2
  (31, 31)          20
  (30, 30)          21
  (29, 29)          21
  (28, 28)          21
  (27, 27)          20
  (26, 26)          20
  (25, 25)          20
  (24, 24)          22   scramble +2
  (23, 23)          20
  (22, 22)          20
  (21, 21)          19
  (20, 20)          18
  (19, 19)          18
  (18, 18)          17
  (17, 17)          17
  (16, 16)          16
  (15, 15)          15
  (14, 14)          15
  (13, 13)          14
  (12, 12)          14
  (11, 11)          14
  (10, 10)          14
  (9, 9)            14
  (8, 8)            14
  (7, 7)            14
  (6, 6)            15
  (5, 5)            15
  (4, 4)             6   drop -9
  (4, 3)             6
  (4, 2)             6
  (4, 1)             6
  (4, 0)             6
  (4, -1)            6
  (4, -2)            6
  (3, -3)           17   barrier +11
  (2, -4)           16
  (1, -5)           16
  (0, -6)           16
  (-1, -6)          16
  (-2, -6)          16
  (-3, -6)          16
  (-4, -6)          17
  (-5, -6)          15
  (-6, -6)          15
  (-7, -6)          15
  (-8, -7)          15
  (-9, -8)          14
  (-10, -9)         14
  (-11, -10)        14
  (-12, -11)        14
  (-13, -12)        14
  (-14, -13)        14
  (-15, -14)        14
  (-16, -15)        15
  (-17, -16)        16
  (-18, -17)        16
  (-19, -18)        17
  (-20, -19)        17
  (-21, -20)        18
  (-22, -21)        19
  (-23, -22)        19
  (-24, -23)        20
  (-25, -24)        22   scramble +2
  (-26, -25)        20
  (-27, -26)        20
  (-28, -27)        20
  (-29, -28)        21
rises 4, falls 1, worst step 11: scramble +2 at (32, 32); scramble +2 at (24, 24); drop -9 at (4, 4); barrier +11 at (3, -3); scramble +2 at (-25, -24)
