      | 1         0          |
      | 09876543210123456789 |
  -16 | CCCCSSSSEEEEEEEEEEEE |
  -15 | CCCCSS@SEEEEEEEEEEEE |
  -14 | CCCCSSSSEEEEEEEEEEEE |
  -13 | CCCCDDDDEEEEEEEEEEEE |
  -12 | CCCCDDDDEEEEEEE!EEEE |
  -11 | CCCCDDDDEEEEEEEEEEEE |
  -10 | CCCCDDDDEEEEEEEEEEEE |
   -9 | AAAAAAAAAAAAAABBBBBB |
   -8 | AAAAAAAAAAAAAABBBBBB |
   -7 | AAAAAAAAAAAAAABBBBBB |
   -6 | AAAAAOAAAAAAAABBBBBB |
   -5 | AAAAAAAAAAAAAA       |
   -4 | ++++++++++++++++++++ |
   -3 | ++++++++++++++++++++ |
   -2 | ++++++++++++++++++++ |
   -1 | ++++++++++++++++++++ |
    0 | ++++++++++++++++++++ |
    1 | ++++++++++++++++++++ |
    2 | ++++++++++++++++++++ |
    3 | ++++++++++++++++++++ |
    4 |       AAAAAAAAAAAAAA |
    5 | BBBBBBAAAAAAAAOAAAAA |
    6 | BBBBBBAAAAAAAAAAAAAA |
    7 | BBBBBBAAAAAAAAAAAAAA |
    8 | BBBBBBAAAAAAAAAAAAAA |
    9 | EEEEEEEEEEEEDDDDCCCC |
   10 | EEEEEEEEEEEEDDDDCCCC |
   11 | EEEE!EEEEEEEDDDDCCCC |
   12 | EEEEEEEEEEEEDDDDCCCC |
   13 | EEEEEEEEEEEESSSSCCCC |
   14 | EEEEEEEEEEEESS@SCCCC |
   15 | EEEEEEEEEEEESSSSCCCC |
      20 × 32 cells drawn  ·  20 × 32 cells = 100 × 160 blocks  ·  cell 5
      ! destroyable   @ spawn   A quay (piece)   B strand (piece)   C head-w (piece)   
      D head-m (piece)   E head-e (piece)   O core   S spawn (spawn)   
