      | 1         0          |
      | 09876543210123456789 |
  -26 |         SSSS         |
  -25 |         SS@S         |
  -24 |         SSSS         |
  -23 |         SSSS         |
  -22 | AAAAAAAAAAAAAAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAA |
  -16 |   BBBBBBBBBBBBBBBB   |
  -15 |   BBBBBBBBBBBBBBBB   |
  -14 |   BBBBBBBBBBBBBBBB   |
  -13 |   BBBBBBBB!BBBBBBB   |
  -12 |   BBBBBBBBBBBBBBBB   |
  -11 |   BBBBBBBBBBBBBBBB   |
  -10 |   BBBBBBBBBBBBBBBB   |
   -9 |   BBBBBBBBBBBBBBBB   |
   -8 |   BBBBBBBBBBBBBBBB   |
   -7 | CCCCCCCCCCCCCCCCCCCC |
   -6 | CCCCCCCCCCCCCCCCCCCC |
   -5 | CCCCCCCCCCCCCCCCCCCC |
   -4 | CCCCCCCCCCCCCCCCCCCC |
   -3 | CCCCCCCCCCCCCCCCCCCC |
   -2 |                      |
   -1 |                      |
    0 |                      |
    1 |                      |
    2 | CCCCCCCCCCCCCCCCCCCC |
    3 | CCCCCCCCCCCCCCCCCCCC |
    4 | CCCCCCCCCCCCCCCCCCCC |
    5 | CCCCCCCCCCCCCCCCCCCC |
    6 | CCCCCCCCCCCCCCCCCCCC |
    7 |   BBBBBBBBBBBBBBBB   |
    8 |   BBBBBBBBBBBBBBBB   |
    9 |   BBBBBBBBBBBBBBBB   |
   10 |   BBBBBBBBBBBBBBBB   |
   11 |   BBBBBBBBBBBBBBBB   |
   12 |   BBBBBBBB!BBBBBBB   |
   13 |   BBBBBBBBBBBBBBBB   |
   14 |   BBBBBBBBBBBBBBBB   |
   15 |   BBBBBBBBBBBBBBBB   |
   16 | AAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAAAAAAAAAAAAAAA |
   22 |         SSSS         |
   23 |         SSSS         |
   24 |         SSSS         |
   25 |         SS@S         |
      20 × 52 cells drawn  ·  20 × 52 cells = 100 × 260 blocks  ·  cell 5
      ! destroyable   @ spawn   A yard (piece)   B plateau (piece)   C midfield (piece)   
      S spawn (spawn)   
