TRANSECT 49 stations from (-48, -28) to (-40, -76), every 1
  station        ground  surface  water  top  standing            step
  (  -48,   -28)       8        8            8                      
  (  -48,   -29)       8        8            8                      
  (  -48,   -30)       8        8            8                      
  (  -47,   -31)       8        8            8                      
  (  -47,   -32)       8        8            8                      
  (  -47,   -33)       9        9            9                      +1
  (  -47,   -34)       9        9            9                      
  (  -47,   -35)       8        8            8                      -1
  (  -47,   -36)       8        8            8                      
  (  -46,   -37)       8        8            8                      
  (  -46,   -38)       8        8            8                      
  (  -46,   -39)       8        8            8                      
  (  -46,   -40)       8        8            8                      
  (  -46,   -41)       8        8            8                      
  (  -46,   -42)       8        8            8                      
  (  -45,   -43)       8        8            8                      
  (  -45,   -44)       8        8            8                      
  (  -45,   -45)       8        8            8                      
  (  -45,   -46)       8        8            8                      
  (  -45,   -47)       8        8            8                      
  (  -45,   -48)       8        8            8                      
  (  -44,   -49)       8        8            8                      
  (  -44,   -50)       8        8            8                      
  (  -44,   -51)       8        8            8                      
  (  -44,   -52)       8        8            8                      
  (  -44,   -53)       8        8            8                      
  (  -44,   -54)       8        8            8                      
  (  -43,   -55)       8        8            8                      
  (  -43,   -56)       8        8            8                      
  (  -43,   -57)       8        8            8                      
  (  -43,   -58)       8        8            8                      
  (  -43,   -59)       8        8            8                      
  (  -43,   -60)       8        8            8                      
  (  -42,   -61)       8        8            8                      
  (  -42,   -62)       8        8            8                      
  (  -42,   -63)       8        8            8                      
  (  -42,   -64)       8        8            8                      
  (  -42,   -65)       8        8            8                      
  (  -42,   -66)       8        8            8                      
  (  -41,   -67)       8        8            8                      
  (  -41,   -68)       8        8            8                      
  (  -41,   -69)       8        8            8                      
  (  -41,   -70)      31       31           31                      BARRIER +23
  (  -41,   -71)      32       32           32                      +1
  (  -41,   -72)      32       32           32                      
  (  -40,   -73)      32       32           32                      
  (  -40,   -74)      32       32           32                      
  (  -40,   -75)      32       32           32                      
  (  -40,   -76)      32       32           32                      
rises 3, falls 1, worst step 23: 1 barrier, 0 scramble, 0 drop — BARRIER +23 at (-41, -70) | walked end to end
beside: (none)
