TRANSECT 27 stations from (-5, -58) to (-5, -32), every 1
  station        ground  surface  water  top  standing            step
  (   -5,   -58)      33       33           33                      
  (   -5,   -57)      33       33           33                      
  (   -5,   -56)      32       32           32                      -1
  (   -5,   -55)      32       32           32                      
  (   -5,   -54)      20       20           20                      DROP -12
  (   -5,   -53)      20       20           20                      
  (   -5,   -52)      20       20           20                      
  (   -5,   -51)      20       20           20                      
  (   -5,   -50)      20       20           20                      
  (   -5,   -49)      20       20           20                      
  (   -5,   -48)      21       21           21                      +1
  (   -5,   -47)      22       22           22                      +1
  (   -5,   -46)      23       23           23                      +1
  (   -5,   -45)      24       24           24                      +1
  (   -5,   -44)      25       25           25                      +1
  (   -5,   -43)      26       26           26                      +1
  (   -5,   -42)      27       27           27                      +1
  (   -5,   -41)      28       28           28                      +1
  (   -5,   -40)      29       29           29                      +1
  (   -5,   -39)      30       30           30                      +1
  (   -5,   -38)      31       31           31                      +1
  (   -5,   -37)      32       32           32                      +1
  (   -5,   -36)       8        8            8                      DROP -24
  (   -5,   -35)       8        8            8                      
  (   -5,   -34)       9        9            9                      +1
  (   -5,   -33)      10       10           10                      +1
  (   -5,   -32)      10       10           10                      
rises 14, falls 3, worst step 24: 0 barrier, 0 scramble, 2 drop — DROP -12 at (-5, -54); DROP -24 at (-5, -36) | walked end to end
beside: (none)
