## Blue Gnomon-0 (destroyable) along x
TRANSECT 25 stations from (-12, 64) to (12, 64), every 1
  station        ground  surface  water  top  standing            step
  (  -12,    64)      32       32           32                      
  (  -11,    64)      32       32           32                      
  (  -10,    64)      32       32           32                      
  (   -9,    64)      33       33           33                      +1
  (   -8,    64)      33       33           33                      
  (   -7,    64)      33       33           33                      
  (   -6,    64)      34       34           34                      +1
  (   -5,    64)      34       34           34                      
  (   -4,    64)      34       34           34                      
  (   -3,    64)      35       35           35                      +1
  (   -2,    64)      35       35           35  destroyable 1       
  (   -1,    64)      35       35           62  destroyable 1       
  (    0,    64)      35       35           63  destroyable 1       
  (    1,    64)      35       35           62  destroyable 1       
  (    2,    64)      35       35           35  destroyable 1       
  (    3,    64)      34       34           34                      -1
  (    4,    64)      34       34           34                      
  (    5,    64)      34       34           34                      
  (    6,    64)      33       33           33                      -1
  (    7,    64)      33       33           33                      
  (    8,    64)      33       33           33                      
  (    9,    64)      32       32           32                      -1
  (   10,    64)      32       32           32                      
  (   11,    64)      32       32           32                      
  (   12,    64)      32       32           32                      
rises 3, falls 3, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable 1 at (-2, 62)

## Blue Gnomon-0 (destroyable) along z
TRANSECT 25 stations from (0, 52) to (0, 76), every 1
  station        ground  surface  water  top  standing            step
  (    0,    52)      32       32           32                      
  (    0,    53)      32       32           32                      
  (    0,    54)      32       32           32                      
  (    0,    55)      33       33           33                      +1
  (    0,    56)      33       33           33                      
  (    0,    57)      33       33           33                      
  (    0,    58)      34       34           34                      +1
  (    0,    59)      34       34           34                      
  (    0,    60)      34       34           34                      
  (    0,    61)      35       35           35                      +1
  (    0,    62)      35       35           35  destroyable 1       
  (    0,    63)      35       35           62  destroyable 1       
  (    0,    64)      35       35           63  destroyable 1       
  (    0,    65)      35       35           62  destroyable 1       
  (    0,    66)      35       35           35  destroyable 1       
  (    0,    67)      34       34           34                      -1
  (    0,    68)      34       34           34                      
  (    0,    69)      34       34           34                      
  (    0,    70)      33       33           33                      -1
  (    0,    71)      33       33           33                      
  (    0,    72)      33       33           33                      
  (    0,    73)      32       32           32                      -1
  (    0,    74)      32       32           32                      
  (    0,    75)      32       32           32                      
  (    0,    76)      32       32           32                      
rises 3, falls 3, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable 1 at (-2, 62)
