## spawn-blue (spawn) along x
TRANSECT 67 stations from (-33, -38) to (33, -38), every 1
  station        ground  surface  water  top  standing            step
  (  -33,   -38)                                                    void
  (  -32,   -38)                                                    void
  (  -31,   -38)                                                    void
  (  -30,   -38)                                                    void
  (  -29,   -38)                                                    void
  (  -28,   -38)                                                    void
  (  -27,   -38)                                                    void
  (  -26,   -38)                                                    void
  (  -25,   -38)      20       20           20                      
  (  -24,   -38)      20       20           20                      
  (  -23,   -38)      20       20           20                      
  (  -22,   -38)      20       20           20                      
  (  -21,   -38)      20       20           20                      
  (  -20,   -38)      20       20           20                      
  (  -19,   -38)      20       20           20                      
  (  -18,   -38)      20       20           20                      
  (  -17,   -38)      20       20           20                      
  (  -16,   -38)      20       20           20                      
  (  -15,   -38)      20       20           20                      
  (  -14,   -38)      20       20           20                      
  (  -13,   -38)      20       20           20                      
  (  -12,   -38)      20       20           20                      
  (  -11,   -38)      20       20           20                      
  (  -10,   -38)      20       20           20                      
  (   -9,   -38)      20       20           20                      
  (   -8,   -38)      20       20           20                      
  (   -7,   -38)      20       20           20                      
  (   -6,   -38)      20       20           20                      
  (   -5,   -38)      20       20           20                      
  (   -4,   -38)      20       20           20                      
  (   -3,   -38)      20       20           20                      
  (   -2,   -38)      20       20           20                      
  (   -1,   -38)      20       20           20                      
  (    0,   -38)      20       20           20                      
  (    1,   -38)      20       20           20                      
  (    2,   -38)      20       20           20                      
  (    3,   -38)      20       20           20                      
  (    4,   -38)      20       20           20                      
  (    5,   -38)      20       20           20                      
  (    6,   -38)      20       20           20                      
  (    7,   -38)      20       20           20                      
  (    8,   -38)      20       20           20                      
  (    9,   -38)      20       20           20                      
  (   10,   -38)      20       20           28  spawn spawn-1#1     
  (   11,   -38)      20       20           28  spawn spawn-1#1     
  (   12,   -38)      20       20           28  spawn spawn-1#1     
  (   13,   -38)      20       20           20  spawn spawn-1#1     
  (   14,   -38)      20       20           20  spawn spawn-1#1     
  (   15,   -38)      20       20           20  spawn spawn-1#1     
  (   16,   -38)      20       20           20  spawn spawn-1#1     
  (   17,   -38)      20       20           28  spawn spawn-1#1     
  (   18,   -38)      20       20           28  spawn spawn-1#1     
  (   19,   -38)      20       20           28  spawn spawn-1#1     
  (   20,   -38)      20       20           20                      
  (   21,   -38)      20       20           20                      
  (   22,   -38)      20       20           23  ironcube spawn-1:0#1  
  (   23,   -38)      20       20           23  ironcube spawn-1:0#1  
  (   24,   -38)      20       20           23  ironcube spawn-1:0#1  
  (   25,   -38)                                                    void
  (   26,   -38)                                                    void
  (   27,   -38)                                                    void
  (   28,   -38)                                                    void
  (   29,   -38)                                                    void
  (   30,   -38)                                                    void
  (   31,   -38)                                                    void
  (   32,   -38)                                                    void
  (   33,   -38)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (10, -40), ironcube spawn-1:0#1 at (22, -38)

## spawn-blue (spawn) along z
TRANSECT 24 stations from (0, -45) to (0, -22), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -45)      20       20           20                      
  (    0,   -44)      20       20           20                      
  (    0,   -43)      20       20           20                      
  (    0,   -42)      20       20           20                      
  (    0,   -41)      20       20           20                      
  (    0,   -40)      20       20           20                      
  (    0,   -39)      20       20           20                      
  (    0,   -38)      20       20           20                      
  (    0,   -37)      20       20           20                      
  (    0,   -36)      20       20           20                      
  (    0,   -35)      20       20           20                      
  (    0,   -34)      20       20           20                      
  (    0,   -33)      20       20           20                      
  (    0,   -32)      20       20           20                      
  (    0,   -31)      20       20           20                      
  (    0,   -30)                                                    void
  (    0,   -29)                                                    void
  (    0,   -28)                                                    void
  (    0,   -27)                                                    void
  (    0,   -26)                                                    void
  (    0,   -25)                                                    void
  (    0,   -24)                                                    void
  (    0,   -23)                                                    void
  (    0,   -22)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)
