## spawn-red (spawn) along x
TRANSECT 67 stations from (-33, 37) to (33, 37), every 1
  station        ground  surface  water  top  standing            step
  (  -33,    37)                                                    void
  (  -32,    37)                                                    void
  (  -31,    37)                                                    void
  (  -30,    37)                                                    void
  (  -29,    37)                                                    void
  (  -28,    37)                                                    void
  (  -27,    37)                                                    void
  (  -26,    37)                                                    void
  (  -25,    37)      20       20           23  ironcube spawn-1:0  
  (  -24,    37)      20       20           23  ironcube spawn-1:0  
  (  -23,    37)      20       20           23  ironcube spawn-1:0  
  (  -22,    37)      20       20           20                      
  (  -21,    37)      20       20           20                      
  (  -20,    37)      20       20           28  spawn spawn-1       
  (  -19,    37)      20       20           28  spawn spawn-1       
  (  -18,    37)      20       20           28  spawn spawn-1       
  (  -17,    37)      20       20           20  spawn spawn-1       
  (  -16,    37)      20       20           20  spawn spawn-1       
  (  -15,    37)      20       20           20  spawn spawn-1       
  (  -14,    37)      20       20           20  spawn spawn-1       
  (  -13,    37)      20       20           28  spawn spawn-1       
  (  -12,    37)      20       20           28  spawn spawn-1       
  (  -11,    37)      20       20           28  spawn spawn-1       
  (  -10,    37)      20       20           20                      
  (   -9,    37)      20       20           20                      
  (   -8,    37)      20       20           20                      
  (   -7,    37)      20       20           20                      
  (   -6,    37)      20       20           20                      
  (   -5,    37)      20       20           20                      
  (   -4,    37)      20       20           20                      
  (   -3,    37)      20       20           20                      
  (   -2,    37)      20       20           20                      
  (   -1,    37)      20       20           20                      
  (    0,    37)      20       20           20                      
  (    1,    37)      20       20           20                      
  (    2,    37)      20       20           20                      
  (    3,    37)      20       20           20                      
  (    4,    37)      20       20           20                      
  (    5,    37)      20       20           20                      
  (    6,    37)      20       20           20                      
  (    7,    37)      20       20           20                      
  (    8,    37)      20       20           20                      
  (    9,    37)      20       20           20                      
  (   10,    37)      20       20           20                      
  (   11,    37)      20       20           20                      
  (   12,    37)      20       20           20                      
  (   13,    37)      20       20           20                      
  (   14,    37)      20       20           20                      
  (   15,    37)      20       20           20                      
  (   16,    37)      20       20           20                      
  (   17,    37)      20       20           20                      
  (   18,    37)      20       20           20                      
  (   19,    37)      20       20           20                      
  (   20,    37)      20       20           20                      
  (   21,    37)      20       20           20                      
  (   22,    37)      20       20           20                      
  (   23,    37)      20       20           20                      
  (   24,    37)      20       20           20                      
  (   25,    37)                                                    void
  (   26,    37)                                                    void
  (   27,    37)                                                    void
  (   28,    37)                                                    void
  (   29,    37)                                                    void
  (   30,    37)                                                    void
  (   31,    37)                                                    void
  (   32,    37)                                                    void
  (   33,    37)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: ironcube spawn-1:0 at (-25, 35), spawn spawn-1 at (-20, 35)

## spawn-red (spawn) along z
TRANSECT 23 stations from (0, 22) to (0, 44), every 1
  station        ground  surface  water  top  standing            step
  (    0,    22)                                                    void
  (    0,    23)                                                    void
  (    0,    24)                                                    void
  (    0,    25)                                                    void
  (    0,    26)                                                    void
  (    0,    27)                                                    void
  (    0,    28)                                                    void
  (    0,    29)                                                    void
  (    0,    30)      20       20           20                      
  (    0,    31)      20       20           20                      
  (    0,    32)      20       20           20                      
  (    0,    33)      20       20           20                      
  (    0,    34)      20       20           20                      
  (    0,    35)      20       20           20                      
  (    0,    36)      20       20           20                      
  (    0,    37)      20       20           20                      
  (    0,    38)      20       20           20                      
  (    0,    39)      20       20           20                      
  (    0,    40)      20       20           20                      
  (    0,    41)      20       20           20                      
  (    0,    42)      20       20           20                      
  (    0,    43)      20       20           20                      
  (    0,    44)      20       20           20                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)
