## spawn-red (spawn) along x
TRANSECT 47 stations from (-43, 77) to (3, 77), every 1
  station        ground  surface  water  top  standing            step
  (  -43,    77)      12       12           12                      
  (  -42,    77)      12       12           12                      
  (  -41,    77)      12       12           12                      
  (  -40,    77)      12       12           12                      
  (  -39,    77)      12       12           12                      
  (  -38,    77)      12       12           12                      
  (  -37,    77)      12       12           12                      
  (  -36,    77)      12       12           12                      
  (  -35,    77)      12       12           15  ironcube iron-1     
  (  -34,    77)      12       12           15  ironcube iron-1     
  (  -33,    77)      12       12           15  ironcube iron-1     
  (  -32,    77)      12       12           12                      
  (  -31,    77)      12       12           12                      
  (  -30,    77)      12       12           12                      
  (  -29,    77)      12       12           20  spawn spawn-1       
  (  -28,    77)      12       12           20  spawn spawn-1       
  (  -27,    77)      12       12           20  spawn spawn-1       
  (  -26,    77)      12       12           20  spawn spawn-1       
  (  -25,    77)      12       12           20  spawn spawn-1       
  (  -24,    77)      12       12           20  spawn spawn-1       
  (  -23,    77)      12       12           20  spawn spawn-1       
  (  -22,    77)      12       12           12  spawn spawn-1       
  (  -21,    77)      12       12           12  spawn spawn-1       
  (  -20,    77)      12       12           12  spawn spawn-1       
  (  -19,    77)      12       12           12  spawn spawn-1       
  (  -18,    77)      12       12           20  spawn spawn-1       
  (  -17,    77)      12       12           20  spawn spawn-1       
  (  -16,    77)      12       12           20  spawn spawn-1       
  (  -15,    77)      12       12           20  spawn spawn-1       
  (  -14,    77)      12       12           20  spawn spawn-1       
  (  -13,    77)      12       12           20  spawn spawn-1       
  (  -12,    77)      12       12           20  spawn spawn-1       
  (  -11,    77)      12       12           12                      
  (  -10,    77)      12       12           12                      
  (   -9,    77)      12       12           15  ironcube iron-2     
  (   -8,    77)      12       12           15  ironcube iron-2     
  (   -7,    77)      12       12           15  ironcube iron-2     
  (   -6,    77)      12       12           12                      
  (   -5,    77)      12       12           12                      
  (   -4,    77)      12       12           12                      
  (   -3,    77)      12       12           12                      
  (   -2,    77)      12       12           12                      
  (   -1,    77)      12       12           12                      
  (    0,    77)      12       12           12                      
  (    1,    77)      12       12           12                      
  (    2,    77)      12       12           12                      
  (    3,    77)      12       12           12                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: ironcube iron-1 at (-35, 76), spawn spawn-1 at (-29, 75), ironcube iron-2 at (-9, 76)

## spawn-red (spawn) along z
TRANSECT 22 stations from (-20, 62) to (-20, 83), every 1
  station        ground  surface  water  top  standing            step
  (  -20,    62)      12       12           12                      
  (  -20,    63)      12       12           12                      
  (  -20,    64)      12       12           12                      
  (  -20,    65)      12       12           12                      
  (  -20,    66)      12       12           12                      
  (  -20,    67)      12       12           12                      
  (  -20,    68)      12       12           12                      
  (  -20,    69)      12       12           12                      
  (  -20,    70)      12       12           12                      
  (  -20,    71)      12       12           12                      
  (  -20,    72)      12       12           12                      
  (  -20,    73)      12       12           20  spawn spawn-1       
  (  -20,    74)      12       12           20  spawn spawn-1       
  (  -20,    75)      12       12           20  spawn spawn-1       
  (  -20,    76)      12       12           12  spawn spawn-1       
  (  -20,    77)      12       12           12  spawn spawn-1       
  (  -20,    78)      12       12           12  spawn spawn-1       
  (  -20,    79)      12       12           20  spawn spawn-1       
  (  -20,    80)      12       12           20  spawn spawn-1       
  (  -20,    81)      12       12           20  spawn spawn-1       
  (  -20,    82)      12       12           12                      
  (  -20,    83)      12       12           12                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-22, 73)
