      |     -1         0         1     |
      | 543210987654321012345678901234 |
  -21 | AAAAAAAAAAAAASSSSAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAASSSSAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAASS@SAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAASSSSAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAOAAAAAAAAOAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -8 |   ++++++++++++++++++++++++++   |
   -7 |   ++++++++++++++++++++++++++   |
   -6 |   ++++++++++++++++++++++++++   |
   -5 |   ++++++++++++++++++++++++++   |
   -4 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
   -3 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
   -2 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
   -1 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
    0 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
    1 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
    2 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
    3 |    BBBBBBBBBBBBBBBBBBBBBBBB    |
    4 |   ++++++++++++++++++++++++++   |
    5 |   ++++++++++++++++++++++++++   |
    6 |   ++++++++++++++++++++++++++   |
    7 |   ++++++++++++++++++++++++++   |
    8 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAOAAAAAAAAOAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAASSSSAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAASSSSAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAASS@SAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAASSSSAAAAAAAAAAAAA |
      30 × 42 cells drawn  ·  30 × 42 cells = 150 × 210 blocks  ·  cell 5
      @ spawn   A holm (piece)   B holm-mid (piece)   O core   S garth (spawn)   
