      |          0         |
      | 987654321012345678 |
  -19 |       SSSSSS       |
  -18 |       SSS@SS       |
  -17 |       SSSSSS       |
  -16 |       SSiSSS       |
  -15 |    CCCCCCCCCCCC    |
  -14 |    CCCCCCCCCCCC    |
  -13 |    CCCCCCCCCCCC    |
  -12 |    CCCCCCCCCCCC    |
  -11 | BBBBBBBBBBBBBBBBBB |
  -10 | BBBBBBBBBBBBBBBBBB |
   -9 | BBBBBBBBBBBBBBBBBB |
   -8 | BBBBBBBBBBBBBBBBBB |
   -7 | BBBBBBBBBBBBBBBBBB |
   -6 | AAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAA |
    6 | BBBBBBBBBBBBBBBBBB |
    7 | BBBBBBBBBBBBBBBBBB |
    8 | BBBBBBBBBBBBBBBBBB |
    9 | BBBBBBBBBBBBBBBBBB |
   10 | BBBBBBBBBBBBBBBBBB |
   11 |    CCCCCCCCCCCC    |
   12 |    CCCCCCCCCCCC    |
   13 |    CCCCCCCCCCCC    |
   14 |    CCCCCCCCCCCC    |
   15 |       SSSiSS       |
   16 |       SSSSSS       |
   17 |       SSS@SS       |
   18 |       SSSSSS       |
      18 × 38 cells drawn  ·  18 × 38 cells = 90 × 190 blocks  ·  cell 5
      @ spawn   A strand (piece)   B brink (piece)   C bield (piece)   S staith (spawn)   i iron   
