## spawn-blue (spawn) along x
TRANSECT 37 stations from (-18, 90) to (18, 90), every 1
  station        ground  surface  water  top  standing            step
  (  -18,    90)      18       18           26  house block-e#1     
  (  -17,    90)      18       18           18                      
  (  -16,    90)      18       18           18                      
  (  -15,    90)      18       18           18                      
  (  -14,    90)      18       18           18                      
  (  -13,    90)      18       18           18                      
  (  -12,    90)      18       18           18                      
  (  -11,    90)      18       18           18                      
  (  -10,    90)      18       18           18                      
  (   -9,    90)      18       18           18                      
  (   -8,    90)      18       18           18                      
  (   -7,    90)      18       18           18                      
  (   -6,    90)      18       18           26                      
  (   -5,    90)      18       18           26  spawn spawn-1#1     
  (   -4,    90)      18       18           26  spawn spawn-1#1     
  (   -3,    90)      18       18           26  spawn spawn-1#1     
  (   -2,    90)      18       18           18  spawn spawn-1#1     
  (   -1,    90)      18       18           18  spawn spawn-1#1     
  (    0,    90)      18       18           18  spawn spawn-1#1     
  (    1,    90)      18       18           18  spawn spawn-1#1     
  (    2,    90)      18       18           26  spawn spawn-1#1     
  (    3,    90)      18       18           26  spawn spawn-1#1     
  (    4,    90)      18       18           26  spawn spawn-1#1     
  (    5,    90)      18       18           26                      
  (    6,    90)      18       18           18                      
  (    7,    90)      18       18           18                      
  (    8,    90)      18       18           18                      
  (    9,    90)      18       18           18                      
  (   10,    90)      18       18           18                      
  (   11,    90)      18       18           18                      
  (   12,    90)      18       18           18                      
  (   13,    90)      18       18           18                      
  (   14,    90)      18       18           18                      
  (   15,    90)      18       18           18                      
  (   16,    90)      18       18           26  house block-w#1     
  (   17,    90)      18       18           26  house block-w#1     
  (   18,    90)      18       18           26  house block-w#1     
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: house block-e#1 at (-20, 88), spawn spawn-1#1 at (-5, 88), flora cover-keep#1 at (13, 88), house block-w#1 at (16, 88)

## spawn-blue (spawn) along z
TRANSECT 30 stations from (0, 72) to (0, 101), every 1
  station        ground  surface  water  top  standing            step
  (    0,    72)      16       16           16                      
  (    0,    73)      16       16           16                      
  (    0,    74)      17       17           17                      +1
  (    0,    75)      17       17           17                      
  (    0,    76)      17       17           17                      
  (    0,    77)      18       18           18                      +1
  (    0,    78)      18       18           18                      
  (    0,    79)      18       18           18                      
  (    0,    80)      18       18           18                      
  (    0,    81)      18       18           18                      
  (    0,    82)      18       18           18                      
  (    0,    83)      18       18           18                      
  (    0,    84)      18       18           26                      
  (    0,    85)      18       18           26  spawn spawn-1#1     
  (    0,    86)      18       18           26  spawn spawn-1#1     
  (    0,    87)      18       18           26  spawn spawn-1#1     
  (    0,    88)      18       18           18  spawn spawn-1#1     
  (    0,    89)      18       18           18  spawn spawn-1#1     
  (    0,    90)      18       18           18  spawn spawn-1#1     
  (    0,    91)      18       18           18  spawn spawn-1#1     
  (    0,    92)      18       18           26  spawn spawn-1#1     
  (    0,    93)      18       18           26  spawn spawn-1#1     
  (    0,    94)      18       18           26  spawn spawn-1#1     
  (    0,    95)      18       18           26                      
  (    0,    96)      18       18           18                      
  (    0,    97)      18       18           18                      
  (    0,    98)      18       18           18                      
  (    0,    99)      18       18           18                      
  (    0,   100)      16       16           16                      -2
  (    0,   101)      14       14           14                      -2
rises 2, falls 2, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-2, 85)
