      |          0         |
      | 987654321012345678 |
  -26 |  AAAAAAAAAAAAAAAA  |
  -25 |  AAAAAASSSSAAAAAA  |
  -24 |  AAAAAASSSSAAAAAA  |
  -23 |  AAAAAASS@SAAAAAA  |
  -22 |  AAAAAASSSSAAAAAA  |
  -21 |  AAAAAAAAAAAAAAAA  |
  -20 |  BBBBBBBBBBBBBBBB  |
  -19 |  BBBBBBBBBBBBBBBB  |
  -18 |  BBBBBBBBBBBBBBBB  |
  -17 |  BBBBBBBBBBBBBBBB  |
  -16 |  BBBBBBBBBBBBBBBB  |
  -15 |  BBBBBBBBBBBBBBBB  |
  -14 |    CCCCCCCCCCCC    |
  -13 |    CCCCCC!CCCCC    |
  -12 |    CCCCCCCCCCCC    |
  -11 |  DDDDDDDDDDDDDDDD  |
  -10 |  DDDDDDDDDDDDDDDD  |
   -9 |  DDDDDDDDDDDDDDDD  |
   -8 |  DDDDDDDDDDDDDDDD  |
   -7 |  DDDDDDDDDDDDDDDD  |
   -6 | ++++++++++++++++++ |
   -5 | ++++++++++++++++++ |
   -4 | ++++++++++++++++++ |
   -3 | ++++++++++++++++++ |
   -2 | ++++++++++++++++++ |
   -1 | ++++++++++++++++++ |
    0 | ++++++++++++++++++ |
    1 | ++++++++++++++++++ |
    2 | ++++++++++++++++++ |
    3 | ++++++++++++++++++ |
    4 | ++++++++++++++++++ |
    5 | ++++++++++++++++++ |
    6 |  DDDDDDDDDDDDDDDD  |
    7 |  DDDDDDDDDDDDDDDD  |
    8 |  DDDDDDDDDDDDDDDD  |
    9 |  DDDDDDDDDDDDDDDD  |
   10 |  DDDDDDDDDDDDDDDD  |
   11 |    CCCCCCCCCCCC    |
   12 |    CCCCCC!CCCCC    |
   13 |    CCCCCCCCCCCC    |
   14 |  BBBBBBBBBBBBBBBB  |
   15 |  BBBBBBBBBBBBBBBB  |
   16 |  BBBBBBBBBBBBBBBB  |
   17 |  BBBBBBBBBBBBBBBB  |
   18 |  BBBBBBBBBBBBBBBB  |
   19 |  BBBBBBBBBBBBBBBB  |
   20 |  AAAAAAAAAAAAAAAA  |
   21 |  AAAAAASSSSAAAAAA  |
   22 |  AAAAAASSSSAAAAAA  |
   23 |  AAAAAASS@SAAAAAA  |
   24 |  AAAAAASSSSAAAAAA  |
   25 |  AAAAAAAAAAAAAAAA  |
      18 × 52 cells drawn  ·  18 × 52 cells = 72 × 208 blocks  ·  cell 4
      ! destroyable   @ spawn   A back (piece)   B moor (piece)   C shoulder (piece)   
      D lower (piece)   S camp (spawn)   
