## beck-water (water) along x
TRANSECT 76 stations from (-60, -101) to (15, -101), every 1
  station        ground  surface  water  top  standing            step
  (  -60,  -101)      26       26           26                      
  (  -59,  -101)      26       26           26                      
  (  -58,  -101)      26       26           26                      
  (  -57,  -101)      26       26           26                      
  (  -56,  -101)      26       26           26                      
  (  -55,  -101)      26       26           26                      
  (  -54,  -101)      26       26           26                      
  (  -53,  -101)      27       27           27                      +1
  (  -52,  -101)      27       27           27                      
  (  -51,  -101)      27       27           27                      
  (  -50,  -101)      27       27           27                      
  (  -49,  -101)      27       27           27                      
  (  -48,  -101)      27       27           27                      
  (  -47,  -101)      27       27           27                      
  (  -46,  -101)      27       27           27                      
  (  -45,  -101)      27       27           27                      
  (  -44,  -101)      27       27           27                      
  (  -43,  -101)      26       26           26                      -1
  (  -42,  -101)      26       26           26                      
  (  -41,  -101)      26       26           26                      
  (  -40,  -101)      25       25           25                      -1
  (  -39,  -101)      26       26           26                      +1
  (  -38,  -101)      26       26           26                      
  (  -37,  -101)      26       26           26                      
  (  -36,  -101)      26       26     17    17  water beck-water    
  (  -35,  -101)      24       24     17    17  water beck-water    -2
  (  -34,  -101)      22       22     17    17  water beck-water    -2
  (  -33,  -101)      19       19     17    17  water beck-water    -3
  (  -32,  -101)      20       20     17    17  water beck-water    +1
  (  -31,  -101)      20       20     17    17  water beck-water    
  (  -30,  -101)      20       20     17    17  water beck-water    
  (  -29,  -101)      20       20     17    17  water beck-water    
  (  -28,  -101)      19       19     17    17  water beck-water    -1
  (  -27,  -101)      18       18     17    17  water beck-water    -1
  (  -26,  -101)      20       20     17    17  water beck-water    scramble +2
  (  -25,  -101)      23       23     17    17  water beck-water    BARRIER +3
  (  -24,  -101)      25       25     17    17  water beck-water    scramble +2
  (  -23,  -101)      25       25     17    17  water beck-water    
  (  -22,  -101)      25       25     17    17  water beck-water    
  (  -21,  -101)      24       24     17    17  water beck-water    -1
  (  -20,  -101)      23       23     17    17  water beck-water    -1
  (  -19,  -101)      21       21     17    17  water beck-water    -2
  (  -18,  -101)      21       21     17    17  water beck-water    
  (  -17,  -101)      21       21           21  water beck-water    
  (  -16,  -101)      22       22           22                      +1
  (  -15,  -101)      22       22           22                      
  (  -14,  -101)      22       22           22                      
  (  -13,  -101)      26       26           26                      BARRIER +4
  (  -12,  -101)      27       27           27                      +1
  (  -11,  -101)      28       28           28                      +1
  (  -10,  -101)      29       29           29                      +1
  (   -9,  -101)      29       29           29                      
  (   -8,  -101)      31       31           31                      scramble +2
  (   -7,  -101)      31       31           31                      
  (   -6,  -101)      32       32           32                      +1
  (   -5,  -101)      32       32           32                      
  (   -4,  -101)      32       32           32                      
  (   -3,  -101)      32       32           32                      
  (   -2,  -101)      33       33           33                      +1
  (   -1,  -101)      34       34           34                      +1
  (    0,  -101)      35       35           35                      +1
  (    1,  -101)      35       35           35                      
  (    2,  -101)      36       36           36                      +1
  (    3,  -101)      39       39           39                      BARRIER +3
  (    4,  -101)      40       40           40                      +1
  (    5,  -101)      41       41           41                      +1
  (    6,  -101)      41       41           41                      
  (    7,  -101)      40       40           40                      -1
  (    8,  -101)      39       39           39                      -1
  (    9,  -101)      40       40           40                      +1
  (   10,  -101)      40       40           40                      
  (   11,  -101)      40       40           40                      
  (   12,  -101)      40       40           40                      
  (   13,  -101)      40       40           40                      
  (   14,  -101)      40       40           40                      
  (   15,  -101)      41       41           41                      +1
rises 22, falls 12, worst step 4: 3 barrier, 3 scramble, 0 drop — scramble +2 at (-26, -101); BARRIER +3 at (-25, -101); scramble +2 at (-24, -101); BARRIER +4 at (-13, -101); scramble +2 at (-8, -101); BARRIER +3 at (3, -101) | walked end to end
beside: water beck-water at (-37, -103)

## beck-water (water) along z
TRANSECT 96 stations from (-29, -140) to (-29, -45), every 1
  station        ground  surface  water  top  standing            step
  (  -29,  -140)                                                    void
  (  -29,  -139)                                                    void
  (  -29,  -138)                                                    void
  (  -29,  -137)                                                    void
  (  -29,  -136)                                                    void
  (  -29,  -135)                                                    void
  (  -29,  -134)                                                    void
  (  -29,  -133)                                                    void
  (  -29,  -132)                                                    void
  (  -29,  -131)                                                    void
  (  -29,  -130)                                                    void
  (  -29,  -129)                                                    void
  (  -29,  -128)      43       43           43                      
  (  -29,  -127)      43       43           43                      
  (  -29,  -126)      43       43           43                      
  (  -29,  -125)      43       43           43                      
  (  -29,  -124)      43       43           43                      
  (  -29,  -123)      43       43           43                      
  (  -29,  -122)      43       43           43                      
  (  -29,  -121)      43       43           43                      
  (  -29,  -120)      43       43           43  water beck-water    
  (  -29,  -119)      43       43           43  water beck-water    
  (  -29,  -118)      43       43           43  water beck-water    
  (  -29,  -117)      42       42     17    17  water beck-water    -1
  (  -29,  -116)      38       38     17    17  water beck-water    DROP -4
  (  -29,  -115)      34       34     17    17  water beck-water    DROP -4
  (  -29,  -114)      30       30     17    17  water beck-water    DROP -4
  (  -29,  -113)      29       29     17    17  water beck-water    -1
  (  -29,  -112)      33       33     17    17  water beck-water    BARRIER +4
  (  -29,  -111)      33       33     17    17  water beck-water    
  (  -29,  -110)      33       33     17    17  water beck-water    
  (  -29,  -109)      33       33     17    17  water beck-water    
  (  -29,  -108)      33       33     17    17  water beck-water    
  (  -29,  -107)      33       33     17    17  water beck-water    
  (  -29,  -106)      33       33     17    17  water beck-water    
  (  -29,  -105)      33       33     17    17  water beck-water    
  (  -29,  -104)      33       33     17    17  water beck-water    
  (  -29,  -103)      21       21     17    17  water beck-water    DROP -12
  (  -29,  -102)      18       18     17    17  water beck-water    -3
  (  -29,  -101)      20       20     17    17  water beck-water    scramble +2
  (  -29,  -100)      21       21     17    17  water beck-water    +1
  (  -29,   -99)      23       23     17    17  water beck-water    scramble +2
  (  -29,   -98)      24       24     17    17  water beck-water    +1
  (  -29,   -97)      25       25     17    17  water beck-water    +1
  (  -29,   -96)      25       25     17    17  water beck-water    
  (  -29,   -95)      25       25     17    17  water beck-water    
  (  -29,   -94)      25       25     17    17  water beck-water    
  (  -29,   -93)      25       25     17    17  water beck-water    
  (  -29,   -92)      25       25     17    17  water beck-water    
  (  -29,   -91)      25       25     17    17  water beck-water    
  (  -29,   -90)      25       25     17    17  water beck-water    
  (  -29,   -89)      24       24     17    17  water beck-water    -1
  (  -29,   -88)      24       24     17    17  water beck-water    
  (  -29,   -87)      23       23     17    17  water beck-water    -1
  (  -29,   -86)      22       22     17    17  water beck-water    -1
  (  -29,   -85)      22       22           22  water beck-water    
  (  -29,   -84)      21       21           21  water beck-water    -1
  (  -29,   -83)      21       21           21  water beck-water    
  (  -29,   -82)      21       21           21  water beck-water    
  (  -29,   -81)      20       20           20  water beck-water    -1
  (  -29,   -80)      21       21           21  water beck-water    +1
  (  -29,   -79)      21       21           21  water beck-water    
  (  -29,   -78)      21       21           21  water beck-water    
  (  -29,   -77)      21       21           21                      
  (  -29,   -76)      21       21           21                      
  (  -29,   -75)      22       22           22                      +1
  (  -29,   -74)      21       21           21                      -1
  (  -29,   -73)      21       21           21                      
  (  -29,   -72)      21       21           21                      
  (  -29,   -71)      21       21           21                      
  (  -29,   -70)      22       22           22                      +1
  (  -29,   -69)      22       22           22                      
  (  -29,   -68)      22       22           22                      
  (  -29,   -67)      22       22           22                      
  (  -29,   -66)      22       22           22                      
  (  -29,   -65)      22       22           22                      
  (  -29,   -64)      22       22           22                      
  (  -29,   -63)      22       22           22                      
  (  -29,   -62)      22       22           22                      
  (  -29,   -61)      22       22           22                      
  (  -29,   -60)      22       22           22                      
  (  -29,   -59)      22       22           22                      
  (  -29,   -58)      22       22           22                      
  (  -29,   -57)      22       22           22                      
  (  -29,   -56)      22       22           22                      
  (  -29,   -55)      22       22           22                      
  (  -29,   -54)      22       22           22                      
  (  -29,   -53)      22       22           22                      
  (  -29,   -52)      22       22           22                      
  (  -29,   -51)      22       22           22                      
  (  -29,   -50)      22       22           22                      
  (  -29,   -49)      22       22           22                      
  (  -29,   -48)      22       22           22                      
  (  -29,   -47)      22       22           22                      
  (  -29,   -46)      22       22           22                      
  (  -29,   -45)      22       22           22                      
rises 9, falls 13, worst step 12: 1 barrier, 2 scramble, 4 drop — DROP -4 at (-29, -116); DROP -4 at (-29, -115); DROP -4 at (-29, -114); BARRIER +4 at (-29, -112); DROP -12 at (-29, -103); scramble +2 at (-29, -101); scramble +2 at (-29, -99) | walked end to end
beside: water beck-water at (-31, -123)
