      |    -1         0         1    |
      | 4321098765432101234567890123 |
  -16 |             SSSS             |
  -15 |             SS@S             |
  -14 |             SSSS             |
  -13 |          AAAAAAAAAAAAAAAWWWW |
  -12 |          AAAAAAAAAAAAAAAWW¤W |
  -11 |          AAAAAAAAAAAAAAAWWWW |
  -10 |           BBBBBBBBBBBB       |
   -9 |           BBBBBBBBBBBB       |
   -8 |           BBBBBBBBBBBB       |
   -7 |           BBBBBBBBBBBB       |
   -6 |       ++++++++++++++++       |
   -5 |       ++++++++++++++++       |
   -4 |       ++++++++++++++++       |
   -3 |       ++++++++++++++++       |
   -2 |       +++CCCCCCCCCC+++       |
   -1 |       +++CCCCCCCCCC+++       |
    0 |       +++CCCCCCCCCC+++       |
    1 |       +++CCCCCCCCCC+++       |
    2 |       ++++++++++++++++       |
    3 |       ++++++++++++++++       |
    4 |       ++++++++++++++++       |
    5 |       ++++++++++++++++       |
    6 |       BBBBBBBBBBBB           |
    7 |       BBBBBBBBBBBB           |
    8 |       BBBBBBBBBBBB           |
    9 |       BBBBBBBBBBBB           |
   10 | WWWWAAAAAAAAAAAAAAA          |
   11 | WW¤WAAAAAAAAAAAAAAA          |
   12 | WWWWAAAAAAAAAAAAAAA          |
   13 |             SSSS             |
   14 |             SS@S             |
   15 |             SSSS             |
      28 × 32 cells drawn  ·  28 × 32 cells = 140 × 160 blocks  ·  cell 5
      @ spawn   A run (piece)   B bank (piece)   C holm (piece)   S camp (spawn)   
      W plinth (wool-room)   ¤ wool   
