## spawn-red -> red-0
ROUTE (-40, 35) -> (10, 60) aim travel: 67 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (-40, 35)         17
  (-39, 35)         17
  (-38, 35)         17
  (-37, 35)         17
  (-36, 35)         17
  (-35, 36)         17
  (-34, 37)         17
  (-33, 37)         17
  (-32, 37)         17
  (-31, 37)         17
  (-30, 37)         18
  (-29, 37)         18
  (-28, 37)         19
  (-27, 37)         19
  (-26, 37)         20
  (-25, 37)         21
  (-24, 37)         22
  (-23, 37)         22
  (-22, 37)         22
  (-21, 37)         22
  (-20, 37)         22
  (-19, 37)         22
  (-18, 37)         22
  (-17, 37)         22
  (-16, 37)         22
  (-15, 37)         22
  (-14, 37)         23
  (-13, 37)         20
  (-12, 37)         20
  (-11, 37)         20
  (-10, 37)         20
  (-9, 37)          20
  (-8, 37)          20
  (-7, 37)          20
  (-6, 37)          20
  (-5, 37)          20
  (-4, 37)          20
  (-3, 37)          20
  (-2, 38)          20
  (-1, 39)          20
  (0, 39)           20
  (1, 40)           20
  (2, 41)           20
  (3, 42)           20
  (4, 43)           20
  (5, 44)           20
  (6, 45)           20
  (6, 46)           19
  (6, 47)           18
  (6, 48)           17
  (7, 49)           16
  (7, 50)           16
  (7, 51)           16
  (8, 52)           16
  (8, 53)           16
  (8, 54)           16
  (8, 55)           17
  (8, 56)           16
  (8, 57)           16
  (8, 58)           16
  (9, 59)           16
  (10, 60)          16
rises 0, falls 0, worst step 0: walked end to end
beside: spawn spawn-1 at (-40, 35) d0, tree holt-4 at (-3, 37) d0, wool wool-1 at (8, 56) d0, ironcube spawn-1:0 at (-34, 35) d1, tree holt-3 at (-4, 36) d1, tree holt-5 at (-3, 40) d2

## spawn-red -> blue-1
ROUTE (-40, 35) -> (-10, -60) aim travel: 113 blocks, 33 placed, 1 drop(s), worst drop 4
  place            y   step
  (-40, 35)         17
  (-39, 35)         17
  (-38, 35)         17
  (-37, 35)         17
  (-36, 35)         17
  (-35, 34)         17
  (-34, 33)         17
  (-33, 33)         17
  (-32, 33)         17
  (-31, 33)         17
  (-30, 33)         17
  (-29, 33)         17
  (-28, 32)         18
  (-27, 31)         18
  (-26, 30)         17
  (-25, 29)         14
  (-25, 28)         14
  (-25, 27)         14
  (-25, 26)         14
  (-25, 25)         14
  (-24, 24)         14
  (-24, 23)         14
  (-24, 22)         14
  (-24, 21)         14
  (-24, 20)         14
  (-24, 19)         14
  (-24, 18)         14
  (-24, 17)         10   drop -4
  (-24, 16)         10
  (-24, 15)         10
  (-24, 14)         10
  (-24, 13)         10
  (-24, 12)         10
  (-24, 11)         10
  (-24, 10)         10
  (-24, 9)          10
  (-24, 8)          10
  (-24, 7)          10
  (-24, 6)          10
  (-24, 5)          10
  (-24, 4)          10
  (-24, 3)          10
  (-24, 2)          10
  (-24, 1)          10
  (-24, 0)          10
  (-24, -1)         10
  (-24, -2)         10
  (-24, -3)         10
  (-24, -4)         10
  (-24, -5)         10
  (-24, -6)         10
  (-24, -7)         10
  (-24, -8)         10
  (-24, -9)         10
  (-24, -10)        10
  (-24, -11)        10
  (-24, -12)        10
  (-24, -13)        10
  (-24, -14)        10
  (-24, -15)        10
  (-24, -16)        10
  (-24, -17)        10
  (-23, -18)        10
  (-22, -19)        10
  (-21, -20)        10
  (-20, -21)        14   barrier +4
  (-19, -22)        14
  (-18, -23)        14
  (-17, -24)        14
  (-16, -25)        14
  (-15, -26)        14
  (-15, -27)        14
  (-15, -28)        14
  (-15, -29)        14
  (-14, -30)        14
  (-13, -31)        14
  (-13, -32)        15
  (-13, -33)        15
  (-12, -34)        16
  (-12, -35)        17
  (-11, -36)        18
  (-11, -37)        19
  (-11, -38)        20
  (-11, -39)        21
  (-11, -40)        21
  (-11, -41)        21
  (-11, -42)        21
  (-11, -43)        20
  (-11, -44)        20
  (-11, -45)        20
  (-11, -46)        18
  (-11, -47)        17
  (-11, -48)        17
  (-11, -49)        16
  (-11, -50)        16
  (-11, -51)        16
  (-11, -52)        16
  (-11, -53)        16
  (-11, -54)        16
  (-11, -55)        16
  (-11, -56)        17
  (-11, -57)        16
  (-11, -58)        16
  (-11, -59)        16
  (-10, -60)        16
rises 1, falls 1, worst step 4: drop -4 at (-24, 17); barrier +4 at (-20, -21)
beside: spawn spawn-1 at (-40, 35) d0, tree holt-1#1 at (-14, -30) d0, tree holt-2#1 at (-12, -35) d0, wool wool-1#1 at (-11, -59) d0, ironcube spawn-1:0 at (-34, 34) d1

## spawn-blue -> red-0
ROUTE (40, -35) -> (10, 60) aim travel: 114 blocks, 33 placed, 0 drop(s), worst drop 0
  place            y   step
  (40, -35)         17
  (39, -35)         17
  (38, -35)         17
  (37, -35)         17
  (36, -35)         17
  (35, -35)         17
  (34, -35)         17
  (33, -34)         17
  (32, -34)         17
  (31, -34)         17
  (30, -34)         17
  (29, -34)         17
  (28, -34)         17
  (27, -33)         18
  (26, -32)         18
  (25, -31)         17
  (24, -30)         14
  (24, -29)         14
  (24, -28)         14
  (24, -27)         14
  (24, -26)         14
  (24, -25)         14
  (24, -24)         14
  (23, -23)         14
  (22, -22)         14
  (21, -21)         14
  (20, -20)         14
  (19, -19)         14
  (18, -18)         14
  (18, -17)         11
  (18, -16)         11
  (18, -15)         11
  (18, -14)         11
  (18, -13)         11
  (18, -12)         11
  (18, -11)         11
  (18, -10)         11
  (18, -9)          11
  (18, -8)          11
  (18, -7)          11
  (18, -6)          11
  (18, -5)          11
  (18, -4)          11
  (18, -3)          11
  (18, -2)          11
  (18, -1)          11
  (18, 0)           11
  (18, 1)           11
  (18, 2)           10
  (18, 3)           10
  (18, 4)           10
  (18, 5)           10
  (18, 6)           10
  (18, 7)           10
  (18, 8)           10
  (18, 9)           10
  (18, 10)          10
  (18, 11)          10
  (18, 12)          10
  (18, 13)          10
  (18, 14)          10
  (18, 15)          10
  (18, 16)          10
  (17, 17)          10
  (16, 18)          14   barrier +4
  (16, 19)          14
  (16, 20)          14
  (16, 21)          14
  (16, 22)          14
  (16, 23)          14
  (16, 24)          14
  (15, 25)          14
  (14, 26)          14
  (14, 27)          14
  (14, 28)          14
  (13, 29)          14
  (12, 30)          14
  (12, 31)          15
  (12, 32)          15
  (11, 33)          16
  (11, 34)          17
  (10, 35)          18
  (10, 36)          19
  (10, 37)          20
  (10, 38)          21
  (10, 39)          21
  (10, 40)          21
  (10, 41)          21
  (10, 42)          20
  (10, 43)          20
  (10, 44)          20
  (10, 45)          18
  (10, 46)          17
  (10, 47)          17
  (10, 48)          16
  (10, 49)          16
  (10, 50)          16
  (10, 51)          16
  (10, 52)          16
  (10, 53)          16
  (10, 54)          16
  (10, 55)          17
  (10, 56)          16
  (10, 57)          16
  (10, 58)          16
  (10, 59)          16
  (10, 60)          16
rises 1, falls 0, worst step 4: barrier +4 at (16, 18)
beside: spawn spawn-1#1 at (36, -35) d0, tree holt-1 at (12, 30) d0, tree holt-2 at (10, 35) d0, wool wool-1 at (10, 56) d0, ironcube spawn-1:0#1 at (32, -35) d1

## spawn-blue -> blue-1
ROUTE (40, -35) -> (-10, -60) aim travel: 67 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (40, -35)         17
  (39, -35)         17
  (38, -35)         17
  (37, -35)         17
  (36, -35)         17
  (35, -36)         17
  (34, -37)         17
  (33, -38)         17
  (32, -38)         17
  (31, -38)         17
  (30, -38)         17
  (29, -38)         18
  (28, -38)         18
  (27, -38)         19
  (26, -38)         19
  (25, -38)         20
  (24, -38)         21
  (23, -38)         22
  (22, -38)         22
  (21, -38)         22
  (20, -38)         22
  (19, -38)         22
  (18, -38)         22
