## spawn-red -> red-0
ROUTE (-36, 72) -> (32, 124) aim travel: 102 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (-36, 72)         16
  (-35, 72)         16
  (-34, 72)         16
  (-33, 72)         16
  (-32, 72)         16
  (-31, 72)         16
  (-30, 72)         16
  (-29, 72)         16
  (-28, 72)         17
  (-27, 72)         17
  (-26, 72)         16
  (-25, 72)         16
  (-24, 72)         17
  (-23, 73)         17
  (-22, 74)         17
  (-21, 75)         18
  (-20, 76)         18
  (-19, 77)         18
  (-18, 78)         18
  (-17, 79)         18
  (-16, 80)         19
  (-15, 81)         19
  (-14, 82)         20
  (-13, 83)         19
  (-12, 84)         18
  (-11, 84)         19
  (-10, 84)         19
  (-9, 84)          19
  (-8, 84)          19
  (-7, 84)          19
  (-6, 84)          19
  (-5, 84)          19
  (-4, 84)          19
  (-3, 84)          18
  (-2, 84)          18
  (-1, 84)          18
  (0, 84)           18
  (1, 84)           18
  (2, 84)           18
  (3, 84)           18
  (4, 84)           18
  (5, 84)           18
  (6, 84)           19
  (7, 84)           19
  (8, 84)           19
  (9, 84)           19
  (10, 84)          19
  (11, 84)          19
  (12, 84)          19
  (13, 84)          19
  (14, 85)          19
  (15, 86)          19
  (16, 87)          20
  (17, 88)          20
  (18, 89)          20
  (19, 90)          20
  (20, 91)          21
  (21, 92)          22
  (22, 93)          22
  (23, 94)          22
  (24, 95)          21
  (25, 96)          21
  (25, 97)          21
  (25, 98)          21
  (25, 99)          21
  (25, 100)         21
  (25, 101)         21
  (25, 102)         21
  (25, 103)         21
  (25, 104)         21
  (25, 105)         21
  (25, 106)         21
  (25, 107)         21
  (25, 108)         21
  (25, 109)         21
  (25, 110)         21
  (25, 111)         21
  (25, 112)         21
  (25, 113)         21
  (25, 114)         21
  (25, 115)         21
  (25, 116)         21
  (26, 117)         21
  (27, 118)         21
  (28, 119)         21
  (29, 120)         22
  (30, 121)         21
  (30, 122)         21
  (31, 123)         21
  (32, 124)         21
rises 0, falls 0, worst step 0: walked end to end
beside: spawn spawn-1 at (-36, 72) d0, wool wool-1 at (30, 121) d0

## spawn-red -> orange-0
ROUTE (-36, 72) -> (64, 60) aim travel: 106 blocks, 1 placed, 0 drop(s), worst drop 0
  place            y   step
  (-36, 72)         16
  (-35, 72)         16
  (-34, 72)         16
  (-33, 72)         16
  (-32, 72)         16
  (-31, 72)         16
  (-30, 72)         16
  (-29, 72)         16
  (-28, 72)         17
  (-27, 72)         17
  (-26, 72)         16
  (-25, 72)         16
  (-24, 72)         17
  (-23, 72)         17
  (-22, 72)         17
  (-21, 71)         17
  (-20, 70)         16
  (-19, 69)         16
  (-18, 68)         16
  (-17, 67)         16
  (-16, 66)         15
  (-15, 65)         15
  (-14, 64)         15
  (-13, 63)         14
  (-12, 63)         14
  (-11, 63)         14
  (-10, 63)         14
  (-9, 63)          14
  (-8, 63)          14
  (-7, 63)          14
  (-6, 63)          14
  (-5, 63)          14
  (-4, 63)          14
  (-3, 63)          14
  (-2, 63)          14
  (-1, 63)          14
  (0, 63)           14
  (1, 63)           14
  (2, 63)           14
  (3, 63)           14
  (4, 63)           14
  (5, 63)           16   scramble +2
  (6, 63)           15
  (7, 63)           14
  (8, 63)           13
  (9, 63)           13
  (10, 63)          13
  (11, 63)          13
  (12, 63)          13
  (13, 63)          13
  (14, 63)          13
  (15, 63)          13
  (16, 63)          13
  (17, 63)          13
  (18, 63)          13
  (19, 63)          13
  (20, 63)          13
  (21, 63)          13
  (22, 63)          13
  (23, 63)          13
  (24, 63)          13
  (25, 63)          14
  (26, 63)          14
  (27, 63)          14
  (28, 63)          15
  (29, 63)          15
  (30, 63)          16
  (31, 63)          15
  (32, 63)          15
  (33, 63)          15
  (34, 63)          15
  (35, 63)          15
  (36, 63)          15
  (37, 63)          15
  (38, 63)          15
  (39, 64)          15
  (40, 64)          15
  (41, 64)          15
  (42, 64)          15
  (43, 64)          15
  (44, 64)          15
  (45, 64)          15
  (46, 64)          15
  (47, 64)          15
  (48, 64)          15
  (49, 64)          15
  (50, 64)          15
  (51, 64)          15
  (52, 64)          15
  (53, 64)          15
  (54, 64)          15
  (55, 64)          15
  (56, 64)          15
  (57, 64)          15
  (58, 64)          15
  (59, 64)          15
  (60, 64)          15
  (61, 63)          16
  (62, 62)          15
  (63, 61)          15
  (64, 60)          15
rises 1, falls 0, worst step 2: scramble +2 at (5, 63)
beside: spawn spawn-1 at (-36, 72) d0, wool wool-2 at (62, 62) d0

## spawn-red -> blue-1
ROUTE (-36, 72) -> (-32, -124) aim travel: 201 blocks, 51 placed, 0 drop(s), worst drop 0
  place            y   step
  (-36, 72)         16
  (-35, 71)         16
  (-34, 70)         16
  (-33, 69)         16
  (-32, 68)         16
  (-31, 67)         16
  (-30, 66)         16
  (-29, 65)         16
  (-28, 64)         15
  (-28, 63)         15
  (-28, 62)         15
  (-28, 61)         15
  (-28, 60)         15
  (-28, 59)         14
  (-28, 58)         14
  (-28, 57)         14
  (-28, 56)         14
  (-28, 55)         14
  (-28, 54)         13
  (-28, 53)         13
  (-28, 52)         13
  (-28, 51)         13
  (-28, 50)         13
  (-28, 49)         13
  (-28, 48)         13
  (-28, 47)         13
  (-28, 46)         13
  (-28, 45)         13
  (-28, 44)         12
  (-28, 43)         12
  (-28, 42)         12
  (-28, 41)         12
  (-28, 40)         12
  (-28, 39)         12
  (-28, 38)         12
  (-28, 37)         12
  (-28, 36)         12
  (-28, 35)         12
  (-28, 34)         12
  (-28, 33)         12
  (-28, 32)         12
  (-28, 31)         12
  (-28, 30)         12
  (-28, 29)         12
  (-28, 28)         12
  (-28, 27)         12
  (-28, 26)         12
  (-28, 25)         12
  (-28, 24)         12
  (-28, 23)         12
  (-28, 22)         12
  (-28, 21)         12
  (-28, 20)         12
  (-28, 19)         12
  (-28, 18)         12
  (-28, 17)         12
  (-28, 16)         12
  (-28, 15)          9
  (-28, 14)          9
  (-28, 13)          9
  (-28, 12)          9
  (-28, 11)          9
  (-28, 10)          9
  (-28, 9)           9
  (-28, 8)           9
  (-28, 7)           9
  (-28, 6)           9
  (-28, 5)           9
  (-28, 4)           9
  (-28, 3)           9
  (-28, 2)           9
  (-28, 1)           9
  (-28, 0)           9
  (-28, -1)          9
  (-28, -2)          9
  (-28, -3)          9
  (-28, -4)          9
  (-28, -5)          9
  (-28, -6)          9
  (-28, -7)          9
  (-28, -8)          9
  (-28, -9)          9
  (-28, -10)         9
  (-28, -11)         9
  (-28, -12)         9
  (-28, -13)         9
  (-28, -14)         9
  (-28, -15)         9
  (-28, -16)         9
  (-28, -17)        12   barrier +3
  (-28, -18)        12
  (-28, -19)        12
  (-28, -20)        12
  (-28, -21)        12
  (-28, -22)        12
  (-28, -23)        12
  (-28, -24)        12
  (-28, -25)        12
  (-28, -26)        12
  (-28, -27)        12
  (-28, -28)        12
  (-28, -29)        12
  (-28, -30)        12
  (-28, -31)        12
  (-28, -32)        12
  (-28, -33)        12
  (-28, -34)        13
  (-28, -35)        13
  (-28, -36)        14
  (-28, -37)        13
  (-28, -38)        13
  (-28, -39)        14
  (-28, -40)        13
  (-28, -41)        13
  (-28, -42)        12
  (-28, -43)        12
  (-28, -44)        12
  (-28, -45)        12
  (-28, -46)        12
  (-28, -47)        12
  (-28, -48)        12
  (-28, -49)        12
  (-28, -50)        12
  (-28, -51)        12
  (-28, -52)        12
  (-28, -53)        12
  (-28, -54)        12
  (-28, -55)        13
  (-28, -56)        13
  (-28, -57)        13
  (-28, -58)        14
  (-28, -59)        14
  (-28, -60)        14
  (-28, -61)        14
  (-28, -62)        14
  (-28, -63)        14
  (-28, -64)        14
  (-28, -65)        14
  (-28, -66)        14
  (-28, -67)        14
  (-28, -68)        14
  (-28, -69)        14
  (-28, -70)        15
  (-28, -71)        15
  (-28, -72)        15
  (-28, -73)        15
  (-28, -74)        15
  (-28, -75)        16
  (-28, -76)        16
  (-28, -77)        16
  (-28, -78)        16
  (-28, -79)        16
  (-28, -80)        17
  (-28, -81)        17
  (-28, -82)        17
  (-28, -83)        18
  (-28, -84)        19
  (-28, -85)        18
  (-28, -86)        19
  (-28, -87)        20
