## light_blue-1 (wool) along x
TRANSECT 21 stations from (-72, -60) to (-52, -60), every 1
  station        ground  surface  water  top  standing            step
  (  -72,   -60)      15       15           20                      
  (  -71,   -60)      15       15           21  wool wool-2#1       
  (  -70,   -60)      15       15           22  wool wool-2#1       
  (  -69,   -60)      15       15           23  wool wool-2#1       
  (  -68,   -60)      15       15           23  wool wool-2#1       
  (  -67,   -60)      15       15           23  wool wool-2#1       
  (  -66,   -60)      15       15           23  wool wool-2#1       
  (  -65,   -60)      15       15           56  wool wool-2#1       
  (  -64,   -60)      15       15           56  wool wool-2#1       
  (  -63,   -60)      15       15           56  wool wool-2#1       
  (  -62,   -60)      15       15           23  wool wool-2#1       
  (  -61,   -60)      15       15           23  wool wool-2#1       
  (  -60,   -60)      15       15           23  wool wool-2#1       
  (  -59,   -60)      15       15           22  wool wool-2#1       
  (  -58,   -60)      15       15           21  wool wool-2#1       
  (  -57,   -60)      15       15           20                      
  (  -56,   -60)                                                    void
  (  -55,   -60)                                                    void
  (  -54,   -60)                                                    void
  (  -53,   -60)                                                    void
  (  -52,   -60)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-2#1 at (-71, -62)

## light_blue-1 (wool) along z
TRANSECT 25 stations from (-64, -72) to (-64, -48), every 1
  station        ground  surface  water  top  standing            step
  (  -64,   -72)      15       15           15                      
  (  -64,   -71)      15       15           15                      
  (  -64,   -70)      15       15           15                      
  (  -64,   -69)      15       15           15                      
  (  -64,   -68)      15       15           15                      
  (  -64,   -67)      15       15           15                      
  (  -64,   -66)      15       15           15                      
  (  -64,   -65)      15       15           15                      
  (  -64,   -64)      15       15           20  redstoneline 1#1    
  (  -64,   -63)      15       15           21  wool wool-2#1       
  (  -64,   -62)      15       15           22  wool wool-2#1       
  (  -64,   -61)      15       15           56  wool wool-2#1       
  (  -64,   -60)      15       15           56  wool wool-2#1       
  (  -64,   -59)      15       15           56  wool wool-2#1       
  (  -64,   -58)      15       15           21  wool wool-2#1       
  (  -64,   -57)      15       15           20                      
  (  -64,   -56)                                                    void
  (  -64,   -55)                                                    void
  (  -64,   -54)                                                    void
  (  -64,   -53)                                                    void
  (  -64,   -52)                                                    void
  (  -64,   -51)                                                    void
  (  -64,   -50)                                                    void
  (  -64,   -49)                                                    void
  (  -64,   -48)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: redstoneline 1#1 at (-66, -64), wool wool-2#1 at (-66, -63)
