## spawn-red (spawn) along x
TRANSECT 25 stations from (-48, 72) to (-24, 72), every 1
  station        ground  surface  water  top  standing            step
  (  -48,    72)                                                    void
  (  -47,    72)                                                    void
  (  -46,    72)                                                    void
  (  -45,    72)                                                    void
  (  -44,    72)                                                    void
  (  -43,    72)                                                    void
  (  -42,    72)                                                    void
  (  -41,    72)                                                    void
  (  -40,    72)      16       16           26                      
  (  -39,    72)      16       16           27  spawn spawn-1       
  (  -38,    72)      16       16           28  spawn spawn-1       
  (  -37,    72)      16       16           29  spawn spawn-1       
  (  -36,    72)      16       16           29  spawn spawn-1       
  (  -35,    72)      16       16           28  spawn spawn-1       
  (  -34,    72)      16       16           27  spawn spawn-1       
  (  -33,    72)      16       16           26                      
  (  -32,    72)      16       16           16                      
  (  -31,    72)      16       16           16                      
  (  -30,    72)      16       16           16                      
  (  -29,    72)      16       16           16                      
  (  -28,    72)      17       17           17                      +1
  (  -27,    72)      17       17           17                      
  (  -26,    72)      16       16           16                      -1
  (  -25,    72)      16       16           16                      
  (  -24,    72)      17       17           17                      +1
rises 2, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-39, 70)

## spawn-red (spawn) along z
TRANSECT 33 stations from (-36, 56) to (-36, 88), every 1
  station        ground  surface  water  top  standing            step
  (  -36,    56)                                                    void
  (  -36,    57)                                                    void
  (  -36,    58)                                                    void
  (  -36,    59)                                                    void
  (  -36,    60)                                                    void
  (  -36,    61)                                                    void
  (  -36,    62)                                                    void
  (  -36,    63)                                                    void
  (  -36,    64)      16       16           29                      
  (  -36,    65)      16       16           29  spawn spawn-1       
  (  -36,    66)      16       16           29  spawn spawn-1       
  (  -36,    67)      16       16           29  spawn spawn-1       
  (  -36,    68)      16       16           29  spawn spawn-1       
  (  -36,    69)      16       16           29  spawn spawn-1       
  (  -36,    70)      16       16           29  spawn spawn-1       
  (  -36,    71)      16       16           29  spawn spawn-1       
  (  -36,    72)      16       16           29  spawn spawn-1       
  (  -36,    73)      16       16           29  spawn spawn-1       
  (  -36,    74)      16       16           29  spawn spawn-1       
  (  -36,    75)      16       16           29  spawn spawn-1       
  (  -36,    76)      16       16           29  spawn spawn-1       
  (  -36,    77)      16       16           29  spawn spawn-1       
  (  -36,    78)      16       16           29  spawn spawn-1       
  (  -36,    79)      16       16           29                      
  (  -36,    80)                                                    void
  (  -36,    81)                                                    void
  (  -36,    82)                                                    void
  (  -36,    83)                                                    void
  (  -36,    84)                                                    void
  (  -36,    85)                                                    void
  (  -36,    86)                                                    void
  (  -36,    87)                                                    void
  (  -36,    88)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-38, 65)
