      |         0        |
      | 8765432101234567 |
  -22 | VVVV        WWWW |
  -21 | VV¤V        WW¤W |
  -20 | VVVV SSSSSS WWWW |
  -19 | GGGG iSS@Si EEEE |
  -18 | GGGG SSSSSS EEEE |
  -17 | GGGG  CCCC  EEEE |
  -16 | FFFF  CCCC  DDDD |
  -15 | FFFF  CCCC  DDDD |
  -14 | BBBBBBCCCCAAAAAA |
  -13 | BBBBBBCCCCAAAAAA |
  -12 | BBBBBBCCCCAAAAAA |
  -11 | BBBBBBCCCCAAAAAA |
  -10 | BBBBBBCCCCAAAAAA |
   -9 | BBBBBB++++AAAAAA |
   -8 | BBBBBB++++AAAAAA |
   -7 | BBBBBB++++AAAAAA |
   -6 | BBBBBB++++AAAAAA |
   -5 | BBBBBB++++AAAAAA |
   -4 | BBBBBB++++AAAAAA |
   -3 | BBBBBB++++AAAAAA |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 | AAAAAA++++BBBBBB |
    3 | AAAAAA++++BBBBBB |
    4 | AAAAAA++++BBBBBB |
    5 | AAAAAA++++BBBBBB |
    6 | AAAAAA++++BBBBBB |
    7 | AAAAAA++++BBBBBB |
    8 | AAAAAA++++BBBBBB |
    9 | AAAAAACCCCBBBBBB |
   10 | AAAAAACCCCBBBBBB |
   11 | AAAAAACCCCBBBBBB |
   12 | AAAAAACCCCBBBBBB |
   13 | AAAAAACCCCBBBBBB |
   14 | DDDD  CCCC  FFFF |
   15 | DDDD  CCCC  FFFF |
   16 | EEEE  CCCC  GGGG |
   17 | EEEE SSSSSS GGGG |
   18 | EEEE iSS@Si GGGG |
   19 | WWWW SSSSSS VVVV |
   20 | WW¤W        VV¤V |
   21 | WWWW        VVVV |
      16 × 44 cells drawn  ·  16 × 44 cells = 80 × 220 blocks  ·  cell 5
      @ spawn   A west-nab (piece)   B east-nab (piece)   C wick (piece)   D lane-w (piece)   
      E head-w (piece)   F lane-e (piece)   G head-e (piece)   S staith (spawn)   
      V knapp-e (wool-room)   W knapp-w (wool-room)   i iron   ¤ wool   
