      |       -1         0         1       |
      | 7654321098765432101234567890123456 |
  -41 |                 WWWW               |
  -40 |                 WW¤W               |
  -39 |             GGGGGGGGGGGG           |
  -38 |             GGGGGGGGGGGG           |
  -37 |             GGGGGGGGGGGG           |
  -36 |             GGGGGGGGGGGG           |
  -35 |             JJJJooooHHHH           |
  -34 |             JJJJooooHHHH           |
  -33 |             JJJJooooHHHH           |
  -32 |             JJJJooooHHHH           |
  -31 | UULLLAAAAAAAAAAAAAAAAAAAA          |
  -30 | UULLLAAAAAAAAAAAAAAAAAAAA          |
  -29 | U¤LLLAAAAAAAAAAAAAAAAAAAA          |
  -28 | UULLLAAAAAAAAAAAAAAAAAAAA          |
  -27 |      EEEE    DDDDooooCCCC          |
  -26 |      EEEE    DDDDooooCCCC          |
  -25 |      EEEE    DDDDooooCCCC          |
  -24 |      EEEE    DDDDooooCCCC          |
  -23 |   SSFEEEE    DDDDooooCCCC          |
  -22 |   SSFEEEE    BBBBBBBBBBBBKKKKKKKVV |
  -21 |   S@FEEEE    BBBBBBBBBBBBKKKKKKKVV |
  -20 |   SSFEEEE    BBBBBBBBBBBBKKKKKKKV¤ |
  -19 |      EEEE    BBBBBBBBBBBBKKKKKKKVV |
  -18 |           MMMMMMMMMMMMMM           |
  -17 |           MMMMMMMMMMMMMM           |
  -16 |           MMMMMMMMMMMMMM           |
  -15 |           MMMMMMMMMMMMMM           |
  -14 |           PPPPooNNNNNNNN           |
  -13 |           PPPPooNNNNNNNN           |
  -12 |           ++++++++++++++           |
  -11 |           ++++++++++++++           |
  -10 |           ++++++++++++++           |
   -9 |           ++QQQQQQQQQ+++           |
   -8 |           ++QQQQQQQQQ+++           |
   -7 |           ++QQQQQQQQQ+++           |
   -6 |           ++QQQQQQQQQ+++           |
   -5 |           ++QQQQQQQQQ+++           |
   -4 |           ++QQQQQQQQQ+++           |
   -3 |           ++++++++++++++           |
   -2 |           ++++++++++++++           |
   -1 |           ++++++++++++++           |
    0 |           ++++++++++++++           |
    1 |           ++++++++++++++           |
    2 |           ++++++++++++++           |
    3 |           +++QQQQQQQQQ++           |
    4 |           +++QQQQQQQQQ++           |
    5 |           +++QQQQQQQQQ++           |
    6 |           +++QQQQQQQQQ++           |
    7 |           +++QQQQQQQQQ++           |
    8 |           +++QQQQQQQQQ++           |
    9 |           ++++++++++++++           |
   10 |           ++++++++++++++           |
   11 |           ++++++++++++++           |
   12 |           NNNNNNNNooPPPP           |
   13 |           NNNNNNNNooPPPP           |
   14 |           MMMMMMMMMMMMMM           |
   15 |           MMMMMMMMMMMMMM           |
   16 |           MMMMMMMMMMMMMM           |
   17 |           MMMMMMMMMMMMMM           |
   18 | VVKKKKKKKBBBBBBBBBBBB    EEEE      |
   19 | VVKKKKKKKBBBBBBBBBBBB    EEEEFSS   |
   20 | V¤KKKKKKKBBBBBBBBBBBB    EEEEFSS   |
   21 | VVKKKKKKKBBBBBBBBBBBB    EEEEFS@   |
   22 |          CCCCooooDDDD    EEEEFSS   |
   23 |          CCCCooooDDDD    EEEE      |
   24 |          CCCCooooDDDD    EEEE      |
   25 |          CCCCooooDDDD    EEEE      |
   26 |          CCCCooooDDDD    EEEE      |
   27 |          AAAAAAAAAAAAAAAAAAAALLLUU |
   28 |          AAAAAAAAAAAAAAAAAAAALLLUU |
   29 |          AAAAAAAAAAAAAAAAAAAALLLU¤ |
   30 |          AAAAAAAAAAAAAAAAAAAALLLUU |
   31 |           HHHHooooJJJJ             |
   32 |           HHHHooooJJJJ             |
   33 |           HHHHooooJJJJ             |
   34 |           HHHHooooJJJJ             |
   35 |           GGGGGGGGGGGG             |
   36 |           GGGGGGGGGGGG             |
   37 |           GGGGGGGGGGGG             |
   38 |           GGGGGGGGGGGG             |
   39 |               WWWW                 |
   40 |               WW¤W                 |
      34 × 82 cells drawn  ·  34 × 82 cells = 136 × 328 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E hub-t5 (piece)   F spawn-t1 (piece)   G wool-a-t1 (piece)   H wool-a-t2 (piece)   
      J wool-a-t3 (piece)   K wool-b-t1 (piece)   L wool-c-t1 (piece)   M frontline-t1 (piece)   
      N frontline-t2 (piece)   P frontline-t3 (piece)   Q mid-stone-0 (piece)   
      S spawn-room (spawn)   U wool-c-room (wool-room)   V wool-b-room (wool-room)   
      W wool-a-room (wool-room)   ¤ wool   
