      |         0        |
      | 8765432101234567 |
  -22 |      SSSSSS      |
  -21 |      iSS@Si      |
  -20 |      SSSSSS      |
  -19 | AAAAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAA |
  -12 | AAAAAAOAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAA |
   -4 | ++++++++++++++++ |
   -3 | ++++++++++++++++ |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 | ++++++++++++++++ |
    3 | ++++++++++++++++ |
    4 | AAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAOAAAAAA |
   12 | AAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAAAA |
   19 |      SSSSSS      |
   20 |      iSS@Si      |
   21 |      SSSSSS      |
      16 × 44 cells drawn  ·  16 × 44 cells = 80 × 220 blocks  ·  cell 5
      @ spawn   A shore (piece)   O core   S bield (spawn)   i iron   
