## scar-2 (boulder) along x
TRANSECT 20 stations from (-40, 48) to (-21, 48), every 1
  station        ground  surface  water  top  standing            step
  (  -40,    48)                                                    void
  (  -39,    48)                                                    void
  (  -38,    48)                            24  boulder scar-2      void
  (  -37,    48)                            24  boulder scar-2      void
  (  -36,    48)                            25  boulder scar-2      void
  (  -35,    48)      22       22           25  boulder scar-2      
  (  -34,    48)      22       22           25  boulder scar-2      
  (  -33,    48)      22       22           25  boulder scar-2      
  (  -32,    48)      22       22           25  boulder scar-2      
  (  -31,    48)      22       22           25  boulder scar-2      
  (  -30,    48)      22       22           25  boulder scar-2      
  (  -29,    48)      22       22           25  boulder scar-2      
  (  -28,    48)      21       21           24  boulder scar-2      -1
  (  -27,    48)      21       21           24  boulder scar-2      
  (  -26,    48)      21       21           21                      
  (  -25,    48)      21       21           21                      
  (  -24,    48)      21       21           21                      
  (  -23,    48)      20       20           20                      -1
  (  -22,    48)      20       20           20                      
  (  -21,    48)      20       20           20                      
rises 0, falls 2, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder scar-2 at (-38, 46), tree fir-0 at (-28, 46), house bothy at (-27, 49)

## scar-2 (boulder) along z
TRANSECT 25 stations from (-33, 36) to (-33, 60), every 1
  station        ground  surface  water  top  standing            step
  (  -33,    36)      26       26           26                      
  (  -33,    37)      26       26           26                      
  (  -33,    38)      26       26           26                      
  (  -33,    39)      26       26           26                      
  (  -33,    40)      26       26           26                      
  (  -33,    41)      26       26           26                      
  (  -33,    42)      25       25           25                      -1
  (  -33,    43)      24       24           24                      -1
  (  -33,    44)      24       24           24  boulder scar-2      
  (  -33,    45)      23       23           24  boulder scar-2      -1
  (  -33,    46)      23       23           24  boulder scar-2      
  (  -33,    47)      23       23           25  boulder scar-2      
  (  -33,    48)      22       22           25  boulder scar-2      -1
  (  -33,    49)      22       22           25  boulder scar-2      
  (  -33,    50)      22       22           25  boulder scar-2      
  (  -33,    51)      22       22           24  boulder scar-2      
  (  -33,    52)      22       22           24  boulder scar-2      
  (  -33,    53)      22       22           22                      
  (  -33,    54)      22       22           22                      
  (  -33,    55)      22       22           22                      
  (  -33,    56)      22       22           22                      
  (  -33,    57)      22       22           22                      
  (  -33,    58)      22       22           22                      
  (  -33,    59)      23       23           23                      +1
  (  -33,    60)      23       23           23                      
rises 1, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder scar-2 at (-34, 44)
