      |   -1         0         1   |
      | 32109876543210123456789012 |
  -28 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -27 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -26 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -25 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -24 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -23 | BBBBBBBBBBSSSSSBBBBBBBBBBB |
  -22 | BBBBBBBBBBSSSSSBBBBBBBBBBB |
  -21 | BBBBBBBBBBSS@SSBBBBBBBBBBB |
  -20 | BBBBBBBBBBSSSSSBBBBBBBBBBB |
  -19 | BBBBBBBBBBBBBBBBBBBBBBBBBB |
  -18 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
  -17 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
  -16 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
  -15 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
  -14 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
  -13 | DDDDD!DDDDDDDDDDDDDDDDDDDD |
  -12 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
  -11 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
  -10 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   -9 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   -8 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   -7 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   -6 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   -5 | FFFFFEEEEEEEEEEEEEEEEGGGGG |
   -4 | FFFFFEEEEEEEEEEEEEEEEGGGGG |
   -3 | FFFFFEEEEEEEEEEEEEEEEGGGGG |
   -2 | FFFFFEEEEEEEEEEEEEEEEGGGGG |
   -1 | FFFFFEEEEEEEEEEEEEEEEGGGGG |
    0 | GGGGGEEEEEEEEEEEEEEEEFFFFF |
    1 | GGGGGEEEEEEEEEEEEEEEEFFFFF |
    2 | GGGGGEEEEEEEEEEEEEEEEFFFFF |
    3 | GGGGGEEEEEEEEEEEEEEEEFFFFF |
    4 | GGGGGEEEEEEEEEEEEEEEEFFFFF |
    5 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
    6 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
    7 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
    8 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
    9 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   10 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   11 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   12 | DDDDDDDDDDDDDDDDDDDDD!DDDD |
   13 | DDDDDDDDDDDDDDDDDDDDDDDDDD |
   14 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
   15 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
   16 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
   17 | CCCCCCCCCCCCCCCCCCCCCCCCCC |
   18 | BBBBBBBBBBBBBBBBBBBBBBBBBB |
   19 | BBBBBBBBBBBSSSSSBBBBBBBBBB |
   20 | BBBBBBBBBBBSSSSSBBBBBBBBBB |
   21 | BBBBBBBBBBBSS@SSBBBBBBBBBB |
   22 | BBBBBBBBBBBSSSSSBBBBBBBBBB |
   23 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   24 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   25 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   26 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   27 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
      26 × 56 cells drawn  ·  26 × 56 cells = 104 × 224 blocks  ·  cell 4
      ! destroyable   @ spawn   A fell (piece)   B brow (piece)   C brink (piece)   
      D floor (piece)   E waist (piece)   F shelf-w (piece)   G shelf-e (piece)   S camp (spawn)   
