## spoil-8 (boulder) along x
TRANSECT 25 stations from (-20, -8) to (4, -8), every 1
  station        ground  surface  water  top  standing            step
  (  -20,    -8)      19       19           19                      
  (  -19,    -8)      18       18           18                      -1
  (  -18,    -8)      18       18           18                      
  (  -17,    -8)      18       18           18                      
  (  -16,    -8)      17       17           17                      -1
  (  -15,    -8)      17       17           17                      
  (  -14,    -8)      17       17           17                      
  (  -13,    -8)      16       16           16                      -1
  (  -12,    -8)      16       16           21  boulder spoil-8     
  (  -11,    -8)      16       16           22  boulder spoil-8     
  (  -10,    -8)      16       16           22  boulder spoil-8     
  (   -9,    -8)      17       17           23  boulder spoil-8     +1
  (   -8,    -8)      16       16           23  boulder spoil-8     -1
  (   -7,    -8)      17       17           23  boulder spoil-8     +1
  (   -6,    -8)      16       16           23  boulder spoil-8     -1
  (   -5,    -8)      16       16           23  boulder spoil-8     
  (   -4,    -8)      16       16           21  boulder spoil-8     
  (   -3,    -8)      16       16           19  boulder spoil-8     
  (   -2,    -8)      17       17           17                      +1
  (   -1,    -8)      16       16           16                      -1
  (    0,    -8)      16       16           16                      
  (    1,    -8)      17       17           17                      +1
  (    2,    -8)      16       16           16                      -1
  (    3,    -8)      16       16           16                      
  (    4,    -8)      17       17           17                      +1
rises 5, falls 7, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder spoil-8 at (-13, -9)

## spoil-8 (boulder) along z
TRANSECT 25 stations from (-8, -20) to (-8, 4), every 1
  station        ground  surface  water  top  standing            step
  (   -8,   -20)      19       19           19                      
  (   -8,   -19)      19       19           19                      
  (   -8,   -18)      18       18           18                      -1
  (   -8,   -17)      18       18           18                      
  (   -8,   -16)      18       18           18                      
  (   -8,   -15)      17       17           17                      -1
  (   -8,   -14)      17       17           17                      
  (   -8,   -13)      17       17           17                      
  (   -8,   -12)      16       16           21  boulder spoil-8     -1
  (   -8,   -11)      16       16           22  boulder spoil-8     
  (   -8,   -10)      16       16           23  boulder spoil-8     
  (   -8,    -9)      16       16           23  boulder spoil-8     
  (   -8,    -8)      16       16           23  boulder spoil-8     
  (   -8,    -7)      16       16           23  boulder spoil-8     
  (   -8,    -6)      16       16           23  boulder spoil-8     
  (   -8,    -5)      16       16           22  boulder spoil-8     
  (   -8,    -4)      16       16           20  boulder spoil-8     
  (   -8,    -3)      16       16           16                      
  (   -8,    -2)      16       16           16                      
  (   -8,    -1)      16       16           16                      
  (   -8,     0)      16       16           16                      
  (   -8,     1)      16       16           16                      
  (   -8,     2)      17       17           17                      +1
  (   -8,     3)      16       16           16                      -1
  (   -8,     4)      16       16           16                      
rises 1, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder spoil-8 at (-10, -12)
