## erratic-4 (boulder) along x
TRANSECT 22 stations from (-43, 22) to (-22, 22), every 1
  station        ground  surface  water  top  standing            step
  (  -43,    22)                                                    void
  (  -42,    22)                                                    void
  (  -41,    22)                                                    void
  (  -40,    22)                                                    void
  (  -39,    22)                            24  boulder erratic-4   void
  (  -38,    22)      22       22           24  boulder erratic-4   
  (  -37,    22)      22       22           24  boulder erratic-4   
  (  -36,    22)      22       22           25  boulder erratic-4   
  (  -35,    22)      22       22           25  boulder erratic-4   
  (  -34,    22)      22       22           25  boulder erratic-4   
  (  -33,    22)      22       22           25  boulder erratic-4   
  (  -32,    22)      22       22           25  boulder erratic-4   
  (  -31,    22)      22       22           25  boulder erratic-4   
  (  -30,    22)      22       22           24  boulder erratic-4   
  (  -29,    22)      22       22           24  boulder erratic-4   
  (  -28,    22)      22       22           22                      
  (  -27,    22)      22       22           22                      
  (  -26,    22)      22       22           22                      
  (  -25,    22)      22       22           22                      
  (  -24,    22)      22       22           22                      
  (  -23,    22)      22       22           22                      
  (  -22,    22)      22       22           22                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder erratic-4 at (-39, 20)

## erratic-4 (boulder) along z
TRANSECT 25 stations from (-34, 10) to (-34, 34), every 1
  station        ground  surface  water  top  standing            step
  (  -34,    10)                                                    void
  (  -34,    11)                                                    void
  (  -34,    12)      22       22           22                      
  (  -34,    13)      22       22           22                      
  (  -34,    14)      22       22           22                      
  (  -34,    15)      22       22           22                      
  (  -34,    16)      22       22           22                      
  (  -34,    17)      22       22           22                      
  (  -34,    18)      22       22           24  boulder erratic-4   
  (  -34,    19)      22       22           24  boulder erratic-4   
  (  -34,    20)      22       22           24  boulder erratic-4   
  (  -34,    21)      22       22           25  boulder erratic-4   
  (  -34,    22)      22       22           25  boulder erratic-4   
  (  -34,    23)      22       22           25  boulder erratic-4   
  (  -34,    24)      22       22           25  boulder erratic-4   
  (  -34,    25)      22       22           25  boulder erratic-4   
  (  -34,    26)      22       22           25  boulder erratic-4   
  (  -34,    27)      22       22           24  boulder erratic-4   
  (  -34,    28)      22       22           22                      
  (  -34,    29)      22       22           22                      
  (  -34,    30)      22       22           22                      
  (  -34,    31)      22       22           22                      
  (  -34,    32)      22       22           22                      
  (  -34,    33)      22       22           22                      
  (  -34,    34)      22       22           22                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder erratic-4 at (-36, 18)
