      |         0        |
      | 8765432101234567 |
  -26 |   WWFFFF         |
  -25 |   W¤FFFF         |
  -24 |   WWFFFF         |
  -23 |      EEE         |
  -22 |      EEE         |
  -21 |      EEE         |
  -20 |      EEE    SSiS |
  -19 |  AAAAAAAAAAASSSS |
  -18 |  AAAAAAAAAAASS@S |
  -17 |  AAAAAAAAAAASSSS |
  -16 |  DDDoooooCCCSSSS |
  -15 |  DDDoooooCCC     |
  -14 |  DDDoooooCCC     |
  -13 |  BBBBBBBBBBB     |
  -12 |  BBBBBBBBBBB     |
  -11 |  BBBBBBBBBBB     |
  -10 |   GGGGGGGGGG     |
   -9 |   GGGGGGGGGG     |
   -8 |   GGGGGGGGGG     |
   -7 |   JJJJooooHHHH   |
   -6 |   JJJJooooHHHH   |
   -5 |   ++++++++++++   |
   -4 |   ++++++++++++   |
   -3 |   ++++++++++++   |
   -2 |   +++KKKKKK+++   |
   -1 |   +++KKKKKK+++   |
    0 |   +++KKKKKK+++   |
    1 |   +++KKKKKK+++   |
    2 |   ++++++++++++   |
    3 |   ++++++++++++   |
    4 |   ++++++++++++   |
    5 |   HHHHooooJJJJ   |
    6 |   HHHHooooJJJJ   |
    7 |     GGGGGGGGGG   |
    8 |     GGGGGGGGGG   |
    9 |     GGGGGGGGGG   |
   10 |     BBBBBBBBBBB  |
   11 |     BBBBBBBBBBB  |
   12 |     BBBBBBBBBBB  |
   13 |     CCCoooooDDD  |
   14 |     CCCoooooDDD  |
   15 | SSSSCCCoooooDDD  |
   16 | SSSSAAAAAAAAAAA  |
   17 | SS@SAAAAAAAAAAA  |
   18 | SSSSAAAAAAAAAAA  |
   19 | SSiS    EEE      |
   20 |         EEE      |
   21 |         EEE      |
   22 |         EEE      |
   23 |         FFFFWW   |
   24 |         FFFFW¤   |
   25 |         FFFFWW   |
      16 × 52 cells drawn  ·  16 × 52 cells = 64 × 208 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E wool-a-t1 (piece)   F wool-a-t2 (piece)   G frontline-t1 (piece)   H frontline-t2 (piece)   
      J frontline-t3 (piece)   K mid-stone (piece)   S spawn-room (spawn)   
      W wool-a-room (wool-room)   i iron   ¤ wool   
