## orange-0 (wool) along x
TRANSECT 21 stations from (-72, 104) to (-52, 104), every 1
  station        ground  surface  water  top  standing            step
  (  -72,   104)      18       18           23                      
  (  -71,   104)      18       18           24  wool wool-2         
  (  -70,   104)      18       18           25  wool wool-2         
  (  -69,   104)      18       18           26  wool wool-2         
  (  -68,   104)      18       18           26  wool wool-2         
  (  -67,   104)      18       18           26  wool wool-2         
  (  -66,   104)      18       18           26  wool wool-2         
  (  -65,   104)      18       18           56  wool wool-2         
  (  -64,   104)      18       18           56  wool wool-2         
  (  -63,   104)      18       18           56  wool wool-2         
  (  -62,   104)      18       18           26  wool wool-2         
  (  -61,   104)      18       18           26  wool wool-2         
  (  -60,   104)      18       18           26  wool wool-2         
  (  -59,   104)      18       18           25  wool wool-2         
  (  -58,   104)      18       18           24  wool wool-2         
  (  -57,   104)      18       18           23                      
  (  -56,   104)                                                    void
  (  -55,   104)                                                    void
  (  -54,   104)                                                    void
  (  -53,   104)                                                    void
  (  -52,   104)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-2 at (-71, 102)

## orange-0 (wool) along z
TRANSECT 25 stations from (-64, 92) to (-64, 116), every 1
  station        ground  surface  water  top  standing            step
  (  -64,    92)      18       18           18                      
  (  -64,    93)      18       18           18                      
  (  -64,    94)      18       18           18                      
  (  -64,    95)      18       18           18                      
  (  -64,    96)      18       18           18                      
  (  -64,    97)      18       18           18                      
  (  -64,    98)      18       18           18                      
  (  -64,    99)      18       18           18                      
  (  -64,   100)      18       18           23  redstoneline 1      
  (  -64,   101)      18       18           24  wool wool-2         
  (  -64,   102)      18       18           25  wool wool-2         
  (  -64,   103)      18       18           56  wool wool-2         
  (  -64,   104)      18       18           56  wool wool-2         
  (  -64,   105)      18       18           56  wool wool-2         
  (  -64,   106)      18       18           24  wool wool-2         
  (  -64,   107)      18       18           23                      
  (  -64,   108)                                                    void
  (  -64,   109)                                                    void
  (  -64,   110)                                                    void
  (  -64,   111)                                                    void
  (  -64,   112)                                                    void
  (  -64,   113)                                                    void
  (  -64,   114)                                                    void
  (  -64,   115)                                                    void
  (  -64,   116)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: redstoneline 1 at (-66, 100), wool wool-2 at (-66, 101)
