## spawn-red -> dt-shelf-0
ROUTE (0, -82) -> (32, -60) aim travel: 41 blocks, 7 placed, 1 drop(s), worst drop 8
  place            y   step
  (0, -82)          34
  (1, -81)          42   barrier +8
  (2, -80)          42
  (3, -79)          34   drop -8
  (4, -78)          34
  (5, -77)          34
  (6, -76)          32
  (7, -75)          30
  (8, -74)          28
  (9, -73)          25
  (10, -72)         23
  (11, -71)         22
  (12, -70)         22
  (13, -69)         22
  (14, -68)         22
  (15, -67)         22
  (16, -66)         22
  (17, -65)         22
  (18, -64)         22
  (19, -63)         22
  (20, -63)         22
  (21, -63)         22
  (22, -63)         22
  (23, -63)         22
  (24, -63)         22
  (25, -63)         22
  (26, -63)         22
  (27, -63)         22
  (28, -63)         22
  (29, -63)         22
  (30, -62)         22
  (31, -61)         22
  (32, -60)         23
rises 1, falls 1, worst step 8: barrier +8 at (1, -81); drop -8 at (3, -79)
beside: destroyable dt-shelf at (30, -62) d0, spawn spawn-1 at (0, -82) d0

## spawn-red -> dt-gate-0
ROUTE (0, -82) -> (-26, -50) aim travel: 43 blocks, 1 placed, 0 drop(s), worst drop 0
  place            y   step
  (0, -82)          34
  (-1, -81)         34
  (-2, -80)         34
  (-3, -79)         34
  (-4, -78)         34
  (-5, -77)         34
  (-6, -76)         32
  (-7, -75)         30
  (-8, -74)         28
  (-9, -73)         26
  (-10, -72)        25
  (-11, -71)        23
  (-12, -70)        23
  (-13, -69)        22
  (-14, -68)        23
  (-14, -67)        24
  (-14, -66)        25
  (-14, -65)        27   scramble +2
  (-14, -64)        28
  (-14, -63)        29
  (-14, -62)        29
  (-15, -61)        29
  (-16, -60)        29
  (-17, -59)        29
  (-18, -58)        29
  (-19, -57)        28
  (-20, -56)        26
  (-21, -55)        26
  (-22, -54)        26
  (-23, -53)        26
  (-24, -52)        26
  (-25, -51)        26
  (-26, -50)        26
rises 1, falls 0, worst step 2: scramble +2 at (-14, -65)
beside: destroyable dt-gate at (-26, -50) d0, spawn spawn-1 at (-2, -80) d0

## spawn-red -> dt-shelf-1
ROUTE (0, -82) -> (-33, 59) aim travel: 176 blocks, 0 placed, 2 drop(s), worst drop 4
  place            y   step
  (0, -82)          34
  (0, -81)          34
  (0, -80)          34
  (0, -79)          34
  (0, -78)          34
  (0, -77)          34
  (0, -76)          32
  (0, -75)          31
  (0, -74)          30
  (0, -73)          29
  (0, -72)          27
  (0, -71)          26
  (0, -70)          25
  (0, -69)          24
