      | -1         0         1 |
      | 1098765432101234567890 |
  -17 |         VVVVSSSSSSWWWW |
  -16 |         V¤VViSS@SiWWW¤ |
  -15 |         VVVVSSSSSSWWWW |
  -14 |         DDDDCCCCCCCCCC |
  -13 |         DDDDCCCCCCCCCC |
  -12 |         DDDDCCCCCCCCCC |
  -11 |         DDDDCCCCCCCCCC |
  -10 |         DDDDCCCCCCCCCC |
   -9 |         DDDDCCCCCCCCCC |
   -8 |         BBBBBBBBBBBBBB |
   -7 |         BBBBBBBBBBBBBB |
   -6 |         BBBBBBBBBBBBBB |
   -5 |         BBBBBBBBBBBBBB |
   -4 | ++++++++++++++++++++++ |
   -3 | ++++++++++++++++++++++ |
   -2 | ++++++++AAAAAA++++++++ |
   -1 | ++++++++AAAAAA++++++++ |
    0 | ++++++++AAAAAA++++++++ |
    1 | ++++++++AAAAAA++++++++ |
    2 | ++++++++++++++++++++++ |
    3 | ++++++++++++++++++++++ |
    4 | BBBBBBBBBBBBBB         |
    5 | BBBBBBBBBBBBBB         |
    6 | BBBBBBBBBBBBBB         |
    7 | BBBBBBBBBBBBBB         |
    8 | CCCCCCCCCCDDDD         |
    9 | CCCCCCCCCCDDDD         |
   10 | CCCCCCCCCCDDDD         |
   11 | CCCCCCCCCCDDDD         |
   12 | CCCCCCCCCCDDDD         |
   13 | CCCCCCCCCCDDDD         |
   14 | WWWWSSSSSSVVVV         |
   15 | WWWWiSS@SiVVVV         |
   16 | W¤WWSSSSSSVVV¤         |
      22 × 34 cells drawn  ·  22 × 34 cells = 110 × 170 blocks  ·  cell 5
      @ spawn   A fold (piece)   B pasture (piece)   C garth (piece)   D lane (piece)   
      S stell (spawn)   V byre (wool-room)   W barn (wool-room)   i iron   ¤ wool   
