## steading (house) along x
TRANSECT 26 stations from (-55, 50) to (-30, 50), every 1
  station        ground  surface  water  top  standing            step
  (  -55,    50)      17       17           17                      
  (  -54,    50)      17       17           17                      
  (  -53,    50)      17       17           17                      
  (  -52,    50)      17       17           17                      
  (  -51,    50)      17       17           29  house steading      
  (  -50,    50)      17       17           29  house steading      
  (  -49,    50)      17       17           29  house steading      
  (  -48,    50)      17       17           29  house steading      
  (  -47,    50)      17       17           29  house steading      
  (  -46,    50)      17       17           29  house steading      
  (  -45,    50)      17       17           29  house steading      
  (  -44,    50)      17       17           29  house steading      
  (  -43,    50)      17       17           29  house steading      
  (  -42,    50)      17       17           29  house steading      
  (  -41,    50)      17       17           29  house steading      
  (  -40,    50)      17       17           29  house steading      
  (  -39,    50)      17       17           29  house steading      
  (  -38,    50)      17       17           29  house steading      
  (  -37,    50)      17       17           29  house steading      
  (  -36,    50)      17       17           17                      
  (  -35,    50)      17       17           17                      
  (  -34,    50)      17       17           17                      
  (  -33,    50)      17       17           17                      
  (  -32,    50)      17       17           17                      
  (  -31,    50)      17       17           17                      
  (  -30,    50)      17       17           17                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: house steading at (-51, 48), stroke drove at (-28, 48)

## steading (house) along z
TRANSECT 33 stations from (-44, 34) to (-44, 66), every 1
  station        ground  surface  water  top  standing            step
  (  -44,    34)      16       16           16                      
  (  -44,    35)      16       16           16                      
  (  -44,    36)      16       16           16                      
  (  -44,    37)      16       16           16                      
  (  -44,    38)      16       16           16                      
  (  -44,    39)      16       16           16                      
  (  -44,    40)      17       17           17                      +1
  (  -44,    41)      17       17           27  house steading      
  (  -44,    42)      17       17           28  house steading      
  (  -44,    43)      17       17           29  house steading      
  (  -44,    44)      17       17           30  house steading      
  (  -44,    45)      17       17           31  house steading      
  (  -44,    46)      17       17           32  house steading      
  (  -44,    47)      17       17           32  house steading      
  (  -44,    48)      17       17           31  house steading      
  (  -44,    49)      17       17           30  house steading      
  (  -44,    50)      17       17           29  house steading      
  (  -44,    51)      17       17           28  house steading      
  (  -44,    52)      17       17           27  house steading      
  (  -44,    53)      17       17           26  house steading      
  (  -44,    54)      17       17           26  house steading      
  (  -44,    55)      17       17           26  house steading      
  (  -44,    56)      17       17           26  house steading      
  (  -44,    57)      17       17           26  house steading      
  (  -44,    58)      17       17           26  house steading      
  (  -44,    59)      17       17           26  house steading      
  (  -44,    60)      17       17           17                      
  (  -44,    61)      17       17           17                      
  (  -44,    62)      17       17           17                      
  (  -44,    63)      17       17           17                      
  (  -44,    64)      17       17           17                      
  (  -44,    65)      17       17           17                      
  (  -44,    66)      17       17           17                      
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: house steading at (-46, 41)
