      |        0       |
      | 76543210123456 |
  -26 |      SSSS      |
  -25 |      SS@S      |
  -24 |      SSSS      |
  -23 |      SSiS      |
  -22 | BBBBBBBBBBBBBB |
  -21 | BBBBBBBBBBBBBB |
  -20 | BBBBBBBBBBBBBB |
  -19 | BBBBBBBBBBBBBB |
  -18 | BBBBBBBBBBBBBB |
  -17 | BBBBBBBBBBBBBB |
  -16 | AAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAA |
  -14 | AAA!AAAAAAAAAA |
  -13 | AAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAA |
   -4 | ++++++++++++++ |
   -3 | ++++++++++++++ |
   -2 | ++++++++++++++ |
   -1 | ++++++++++++++ |
    0 | ++++++++++++++ |
    1 | ++++++++++++++ |
    2 | ++++++++++++++ |
    3 | ++++++++++++++ |
    4 | AAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAA |
   14 | AAAAAAAAAAA!AA |
   15 | AAAAAAAAAAAAAA |
   16 | BBBBBBBBBBBBBB |
   17 | BBBBBBBBBBBBBB |
   18 | BBBBBBBBBBBBBB |
   19 | BBBBBBBBBBBBBB |
   20 | BBBBBBBBBBBBBB |
   21 | BBBBBBBBBBBBBB |
   22 |      SSiS      |
   23 |      SSSS      |
   24 |      SSSS      |
   25 |      SS@S      |
      14 × 52 cells drawn  ·  14 × 52 cells = 70 × 260 blocks  ·  cell 5
      ! destroyable   @ spawn   A pan (piece)   B bench (piece)   S spawn (spawn)   i iron   
