## spawn-red (spawn) along x
TRANSECT 27 stations from (-13, 107) to (13, 107), every 1
  station        ground  surface  water  top  standing            step
  (  -13,   107)      11       11           11                      
  (  -12,   107)      12       12           12                      +1
  (  -11,   107)      12       12           12                      
  (  -10,   107)      12       12           12                      
  (   -9,   107)      12       12           12                      
  (   -8,   107)      12       12           12                      
  (   -7,   107)      12       12           12                      
  (   -6,   107)      12       12           12                      
  (   -5,   107)      12       12           22                      
  (   -4,   107)      12       12           23  spawn spawn-1       
  (   -3,   107)      12       12           24  spawn spawn-1       
  (   -2,   107)      12       12           25  spawn spawn-1       
  (   -1,   107)      12       12           26  spawn spawn-1       
  (    0,   107)      12       12           26  spawn spawn-1       
  (    1,   107)      12       12           25  spawn spawn-1       
  (    2,   107)      12       12           24  spawn spawn-1       
  (    3,   107)      12       12           23  spawn spawn-1       
  (    4,   107)      12       12           22                      
  (    5,   107)                                                    void
  (    6,   107)                                                    void
  (    7,   107)                                                    void
  (    8,   107)                                                    void
  (    9,   107)                                                    void
  (   10,   107)                                                    void
  (   11,   107)                                                    void
  (   12,   107)                                                    void
  (   13,   107)                                                    void
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-4, 105)

## spawn-red (spawn) along z
TRANSECT 24 stations from (0, 92) to (0, 115), every 1
  station        ground  surface  water  top  standing            step
  (    0,    92)      12       12           12                      
  (    0,    93)      12       12           12                      
  (    0,    94)      12       12           12                      
  (    0,    95)      11       11           11                      -1
  (    0,    96)      11       11           11                      
  (    0,    97)      12       12           12                      +1
  (    0,    98)      12       12           12                      
  (    0,    99)      12       12           12                      
  (    0,   100)      12       12           12                      
  (    0,   101)      11       11           11                      -1
  (    0,   102)      12       12           12                      +1
  (    0,   103)      11       11           22                      -1
  (    0,   104)      12       12           23  spawn spawn-1       +1
  (    0,   105)      12       12           24  spawn spawn-1       
  (    0,   106)      12       12           25  spawn spawn-1       
  (    0,   107)      12       12           26  spawn spawn-1       
  (    0,   108)      12       12           26  spawn spawn-1       
  (    0,   109)      12       12           26  spawn spawn-1       
  (    0,   110)      12       12           26  spawn spawn-1       
  (    0,   111)      12       12           25  spawn spawn-1       
  (    0,   112)      12       12           24  spawn spawn-1       
  (    0,   113)      12       12           23  spawn spawn-1       
  (    0,   114)      12       12           22                      
  (    0,   115)      11       11           11                      -1
rises 3, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-2, 104)
